,Dataset,Model,Layer,Iteration,Accuracy,Plot
134,DTFit,bert-large-cased,14,5,0.8166666666666667,BERT DTFit
135,DTFit,bert-large-cased,14,6,0.8833333333333333,BERT DTFit
136,DTFit,bert-large-cased,14,7,0.8,BERT DTFit
137,DTFit,bert-large-cased,14,8,0.7833333333333333,BERT DTFit
138,DTFit,bert-large-cased,14,9,0.775,BERT DTFit
139,DTFit,bert-large-cased,14,10,0.85,BERT DTFit
140,DTFit,bert-large-cased,15,1,0.8416666666666667,BERT DTFit
141,DTFit,bert-large-cased,15,2,0.8,BERT DTFit
142,DTFit,bert-large-cased,15,3,0.8416666666666667,BERT DTFit
143,DTFit,bert-large-cased,15,4,0.8166666666666667,BERT DTFit
144,DTFit,bert-large-cased,15,5,0.7583333333333333,BERT DTFit
145,DTFit,bert-large-cased,15,6,0.825,BERT DTFit
146,DTFit,bert-large-cased,15,7,0.8083333333333333,BERT DTFit
147,DTFit,bert-large-cased,15,8,0.8083333333333333,BERT DTFit
148,DTFit,bert-large-cased,15,9,0.825,BERT DTFit
149,DTFit,bert-large-cased,15,10,0.8333333333333334,BERT DTFit
150,DTFit,bert-large-cased,16,1,0.8166666666666667,BERT DTFit
151,DTFit,bert-large-cased,16,2,0.8083333333333333,BERT DTFit
152,DTFit,bert-large-cased,16,3,0.875,BERT DTFit
153,DTFit,bert-large-cased,16,4,0.8833333333333333,BERT DTFit
154,DTFit,bert-large-cased,16,5,0.8333333333333334,BERT DTFit
155,DTFit,bert-large-cased,16,6,0.85,BERT DTFit
156,DTFit,bert-large-cased,16,7,0.8666666666666667,BERT DTFit
157,DTFit,bert-large-cased,16,8,0.8166666666666667,BERT DTFit
158,DTFit,bert-large-cased,16,9,0.85,BERT DTFit
159,DTFit,bert-large-cased,16,10,0.7916666666666666,BERT DTFit
160,DTFit,bert-large-cased,17,1,0.8,BERT DTFit
161,DTFit,bert-large-cased,17,2,0.8,BERT DTFit
162,DTFit,bert-large-cased,17,3,0.8083333333333333,BERT DTFit
163,DTFit,bert-large-cased,17,4,0.85,BERT DTFit
164,DTFit,bert-large-cased,17,5,0.85,BERT DTFit
165,DTFit,bert-large-cased,17,6,0.8333333333333334,BERT DTFit
166,DTFit,bert-large-cased,17,7,0.7833333333333333,BERT DTFit
167,DTFit,bert-large-cased,17,8,0.775,BERT DTFit
168,DTFit,bert-large-cased,17,9,0.8666666666666667,BERT DTFit
169,DTFit,bert-large-cased,17,10,0.8833333333333333,BERT DTFit
170,DTFit,bert-large-cased,18,1,0.85,BERT DTFit
171,DTFit,bert-large-cased,18,2,0.825,BERT DTFit
172,DTFit,bert-large-cased,18,3,0.8583333333333333,BERT DTFit
173,DTFit,bert-large-cased,18,4,0.7833333333333333,BERT DTFit
174,DTFit,bert-large-cased,18,5,0.85,BERT DTFit
175,DTFit,bert-large-cased,18,6,0.775,BERT DTFit
176,DTFit,bert-large-cased,18,7,0.9,BERT DTFit
177,DTFit,bert-large-cased,18,8,0.8083333333333333,BERT DTFit
178,DTFit,bert-large-cased,18,9,0.8666666666666667,BERT DTFit
179,DTFit,bert-large-cased,18,10,0.8833333333333333,BERT DTFit
180,DTFit,bert-large-cased,19,1,0.8416666666666667,BERT DTFit
181,DTFit,bert-large-cased,19,2,0.8333333333333334,BERT DTFit
182,DTFit,bert-large-cased,19,3,0.775,BERT DTFit
183,DTFit,bert-large-cased,19,4,0.85,BERT DTFit
184,DTFit,bert-large-cased,19,5,0.8,BERT DTFit
185,DTFit,bert-large-cased,19,6,0.8083333333333333,BERT DTFit
186,DTFit,bert-large-cased,19,7,0.85,BERT DTFit
187,DTFit,bert-large-cased,19,8,0.75,BERT DTFit
188,DTFit,bert-large-cased,19,9,0.775,BERT DTFit
189,DTFit,bert-large-cased,19,10,0.825,BERT DTFit
190,DTFit,bert-large-cased,20,1,0.825,BERT DTFit
191,DTFit,bert-large-cased,20,2,0.7666666666666667,BERT DTFit
192,DTFit,bert-large-cased,20,3,0.8083333333333333,BERT DTFit
193,DTFit,bert-large-cased,20,4,0.825,BERT DTFit
194,DTFit,bert-large-cased,20,5,0.75,BERT DTFit
195,DTFit,bert-large-cased,20,6,0.7916666666666666,BERT DTFit
196,DTFit,bert-large-cased,20,7,0.85,BERT DTFit
197,DTFit,bert-large-cased,20,8,0.8333333333333334,BERT DTFit
198,DTFit,bert-large-cased,20,9,0.8083333333333333,BERT DTFit
199,DTFit,bert-large-cased,20,10,0.825,BERT DTFit
200,DTFit,bert-large-cased,21,1,0.8333333333333334,BERT DTFit
201,DTFit,bert-large-cased,21,2,0.8083333333333333,BERT DTFit
202,DTFit,bert-large-cased,21,3,0.7916666666666666,BERT DTFit
203,DTFit,bert-large-cased,21,4,0.8166666666666667,BERT DTFit
204,DTFit,bert-large-cased,21,5,0.8,BERT DTFit
205,DTFit,bert-large-cased,21,6,0.8083333333333333,BERT DTFit
206,DTFit,bert-large-cased,21,7,0.7916666666666666,BERT DTFit
207,DTFit,bert-large-cased,21,8,0.7833333333333333,BERT DTFit
208,DTFit,bert-large-cased,21,9,0.8,BERT DTFit
209,DTFit,bert-large-cased,21,10,0.8333333333333334,BERT DTFit
210,DTFit,bert-large-cased,22,1,0.7666666666666667,BERT DTFit
211,DTFit,bert-large-cased,22,2,0.8166666666666667,BERT DTFit
212,DTFit,bert-large-cased,22,3,0.8083333333333333,BERT DTFit
213,DTFit,bert-large-cased,22,4,0.75,BERT DTFit
214,DTFit,bert-large-cased,22,5,0.7833333333333333,BERT DTFit
215,DTFit,bert-large-cased,22,6,0.7833333333333333,BERT DTFit
216,DTFit,bert-large-cased,22,7,0.825,BERT DTFit
217,DTFit,bert-large-cased,22,8,0.8083333333333333,BERT DTFit
218,DTFit,bert-large-cased,22,9,0.7833333333333333,BERT DTFit
219,DTFit,bert-large-cased,22,10,0.8416666666666667,BERT DTFit
220,DTFit,bert-large-cased,23,1,0.775,BERT DTFit
221,DTFit,bert-large-cased,23,2,0.7166666666666667,BERT DTFit
222,DTFit,bert-large-cased,23,3,0.7333333333333333,BERT DTFit
223,DTFit,bert-large-cased,23,4,0.7833333333333333,BERT DTFit
224,DTFit,bert-large-cased,23,5,0.775,BERT DTFit
225,DTFit,bert-large-cased,23,6,0.825,BERT DTFit
226,DTFit,bert-large-cased,23,7,0.7166666666666667,BERT DTFit
227,DTFit,bert-large-cased,23,8,0.7666666666666667,BERT DTFit
228,DTFit,bert-large-cased,23,9,0.85,BERT DTFit
229,DTFit,bert-large-cased,23,10,0.7833333333333333,BERT DTFit
230,DTFit,bert-large-cased,24,1,0.8,BERT DTFit
231,DTFit,bert-large-cased,24,2,0.7416666666666667,BERT DTFit
232,DTFit,bert-large-cased,24,3,0.775,BERT DTFit
233,DTFit,bert-large-cased,24,4,0.7916666666666666,BERT DTFit
234,DTFit,bert-large-cased,24,5,0.8,BERT DTFit
235,DTFit,bert-large-cased,24,6,0.825,BERT DTFit
236,DTFit,bert-large-cased,24,7,0.7666666666666667,BERT DTFit
237,DTFit,bert-large-cased,24,8,0.7416666666666667,BERT DTFit
238,DTFit,bert-large-cased,24,9,0.7666666666666667,BERT DTFit
239,DTFit,bert-large-cased,24,10,0.725,BERT DTFit
240,DTFit,bert-large-cased,25,1,0.7833333333333333,BERT DTFit
241,DTFit,bert-large-cased,25,2,0.8416666666666667,BERT DTFit
242,DTFit,bert-large-cased,25,3,0.825,BERT DTFit
243,DTFit,bert-large-cased,25,4,0.7583333333333333,BERT DTFit
244,DTFit,bert-large-cased,25,5,0.8166666666666667,BERT DTFit
245,DTFit,bert-large-cased,25,6,0.8166666666666667,BERT DTFit
246,DTFit,bert-large-cased,25,7,0.7916666666666666,BERT DTFit
247,DTFit,bert-large-cased,25,8,0.775,BERT DTFit
248,DTFit,bert-large-cased,25,9,0.7416666666666667,BERT DTFit
249,DTFit,bert-large-cased,25,10,0.8083333333333333,BERT DTFit
250,EventsAdapt,bert-large-cased,1,1,0.5,BERT EventsAdapt
251,EventsAdapt,bert-large-cased,1,2,0.5,BERT EventsAdapt
252,EventsAdapt,bert-large-cased,1,3,0.5,BERT EventsAdapt
253,EventsAdapt,bert-large-cased,1,4,0.5,BERT EventsAdapt
254,EventsAdapt,bert-large-cased,1,5,0.5,BERT EventsAdapt
255,EventsAdapt,bert-large-cased,1,6,0.5,BERT EventsAdapt
256,EventsAdapt,bert-large-cased,1,7,0.5,BERT EventsAdapt
257,EventsAdapt,bert-large-cased,1,8,0.5,BERT EventsAdapt
258,EventsAdapt,bert-large-cased,1,9,0.5,BERT EventsAdapt
259,EventsAdapt,bert-large-cased,1,10,0.5,BERT EventsAdapt
260,EventsAdapt,bert-large-cased,2,1,0.5128205128205128,BERT EventsAdapt
261,EventsAdapt,bert-large-cased,2,2,0.5128205128205128,BERT EventsAdapt
262,EventsAdapt,bert-large-cased,2,3,0.5192307692307693,BERT EventsAdapt
263,EventsAdapt,bert-large-cased,2,4,0.5064102564102564,BERT EventsAdapt
264,EventsAdapt,bert-large-cased,2,5,0.5128205128205128,BERT EventsAdapt
265,EventsAdapt,bert-large-cased,2,6,0.5128205128205128,BERT EventsAdapt
266,EventsAdapt,bert-large-cased,2,7,0.5192307692307693,BERT EventsAdapt
267,EventsAdapt,bert-large-cased,2,8,0.5192307692307693,BERT EventsAdapt
268,EventsAdapt,bert-large-cased,2,9,0.4871794871794871,BERT EventsAdapt
269,EventsAdapt,bert-large-cased,2,10,0.5192307692307693,BERT EventsAdapt
270,EventsAdapt,bert-large-cased,3,1,0.5384615384615384,BERT EventsAdapt
271,EventsAdapt,bert-large-cased,3,2,0.4871794871794871,BERT EventsAdapt
272,EventsAdapt,bert-large-cased,3,3,0.5192307692307693,BERT EventsAdapt
273,EventsAdapt,bert-large-cased,3,4,0.5641025641025641,BERT EventsAdapt
274,EventsAdapt,bert-large-cased,3,5,0.5256410256410257,BERT EventsAdapt
275,EventsAdapt,bert-large-cased,3,6,0.5384615384615384,BERT EventsAdapt
276,EventsAdapt,bert-large-cased,3,7,0.532051282051282,BERT EventsAdapt
277,EventsAdapt,bert-large-cased,3,8,0.5641025641025641,BERT EventsAdapt
278,EventsAdapt,bert-large-cased,3,9,0.5641025641025641,BERT EventsAdapt
279,EventsAdapt,bert-large-cased,3,10,0.532051282051282,BERT EventsAdapt
280,EventsAdapt,bert-large-cased,4,1,0.5448717948717948,BERT EventsAdapt
281,EventsAdapt,bert-large-cased,4,2,0.5128205128205128,BERT EventsAdapt
282,EventsAdapt,bert-large-cased,4,3,0.5384615384615384,BERT EventsAdapt
283,EventsAdapt,bert-large-cased,4,4,0.5512820512820513,BERT EventsAdapt
284,EventsAdapt,bert-large-cased,4,5,0.5641025641025641,BERT EventsAdapt
285,EventsAdapt,bert-large-cased,4,6,0.5128205128205128,BERT EventsAdapt
286,EventsAdapt,bert-large-cased,4,7,0.6025641025641025,BERT EventsAdapt
287,EventsAdapt,bert-large-cased,4,8,0.5192307692307693,BERT EventsAdapt
288,EventsAdapt,bert-large-cased,4,9,0.5705128205128205,BERT EventsAdapt
289,EventsAdapt,bert-large-cased,4,10,0.5256410256410257,BERT EventsAdapt
290,EventsAdapt,bert-large-cased,5,1,0.5576923076923077,BERT EventsAdapt
291,EventsAdapt,bert-large-cased,5,2,0.5512820512820513,BERT EventsAdapt
292,EventsAdapt,bert-large-cased,5,3,0.5256410256410257,BERT EventsAdapt
293,EventsAdapt,bert-large-cased,5,4,0.6346153846153846,BERT EventsAdapt
294,EventsAdapt,bert-large-cased,5,5,0.5384615384615384,BERT EventsAdapt
295,EventsAdapt,bert-large-cased,5,6,0.5384615384615384,BERT EventsAdapt
296,EventsAdapt,bert-large-cased,5,7,0.5705128205128205,BERT EventsAdapt
297,EventsAdapt,bert-large-cased,5,8,0.5769230769230769,BERT EventsAdapt
298,EventsAdapt,bert-large-cased,5,9,0.5705128205128205,BERT EventsAdapt
299,EventsAdapt,bert-large-cased,5,10,0.5961538461538461,BERT EventsAdapt
300,EventsAdapt,bert-large-cased,6,1,0.5192307692307693,BERT EventsAdapt
301,EventsAdapt,bert-large-cased,6,2,0.5833333333333334,BERT EventsAdapt
302,EventsAdapt,bert-large-cased,6,3,0.5512820512820513,BERT EventsAdapt
303,EventsAdapt,bert-large-cased,6,4,0.5512820512820513,BERT EventsAdapt
304,EventsAdapt,bert-large-cased,6,5,0.5512820512820513,BERT EventsAdapt
305,EventsAdapt,bert-large-cased,6,6,0.5512820512820513,BERT EventsAdapt
306,EventsAdapt,bert-large-cased,6,7,0.6282051282051282,BERT EventsAdapt
307,EventsAdapt,bert-large-cased,6,8,0.5705128205128205,BERT EventsAdapt
308,EventsAdapt,bert-large-cased,6,9,0.5128205128205128,BERT EventsAdapt
309,EventsAdapt,bert-large-cased,6,10,0.5833333333333334,BERT EventsAdapt
310,EventsAdapt,bert-large-cased,7,1,0.5448717948717948,BERT EventsAdapt
311,EventsAdapt,bert-large-cased,7,2,0.5897435897435898,BERT EventsAdapt
312,EventsAdapt,bert-large-cased,7,3,0.6346153846153846,BERT EventsAdapt
313,EventsAdapt,bert-large-cased,7,4,0.5705128205128205,BERT EventsAdapt
314,EventsAdapt,bert-large-cased,7,5,0.5833333333333334,BERT EventsAdapt
315,EventsAdapt,bert-large-cased,7,6,0.6025641025641025,BERT EventsAdapt
316,EventsAdapt,bert-large-cased,7,7,0.6153846153846154,BERT EventsAdapt
317,EventsAdapt,bert-large-cased,7,8,0.5576923076923077,BERT EventsAdapt
318,EventsAdapt,bert-large-cased,7,9,0.6089743589743589,BERT EventsAdapt
319,EventsAdapt,bert-large-cased,7,10,0.5512820512820513,BERT EventsAdapt
320,EventsAdapt,bert-large-cased,8,1,0.6153846153846154,BERT EventsAdapt
321,EventsAdapt,bert-large-cased,8,2,0.6089743589743589,BERT EventsAdapt
322,EventsAdapt,bert-large-cased,8,3,0.5769230769230769,BERT EventsAdapt
323,EventsAdapt,bert-large-cased,8,4,0.532051282051282,BERT EventsAdapt
324,EventsAdapt,bert-large-cased,8,5,0.6217948717948718,BERT EventsAdapt
325,EventsAdapt,bert-large-cased,8,6,0.5769230769230769,BERT EventsAdapt
326,EventsAdapt,bert-large-cased,8,7,0.6282051282051282,BERT EventsAdapt
327,EventsAdapt,bert-large-cased,8,8,0.5769230769230769,BERT EventsAdapt
328,EventsAdapt,bert-large-cased,8,9,0.5833333333333334,BERT EventsAdapt
329,EventsAdapt,bert-large-cased,8,10,0.6217948717948718,BERT EventsAdapt
330,EventsAdapt,bert-large-cased,9,1,0.6217948717948718,BERT EventsAdapt
331,EventsAdapt,bert-large-cased,9,2,0.6602564102564102,BERT EventsAdapt
332,EventsAdapt,bert-large-cased,9,3,0.5961538461538461,BERT EventsAdapt
333,EventsAdapt,bert-large-cased,9,4,0.5705128205128205,BERT EventsAdapt
334,EventsAdapt,bert-large-cased,9,5,0.6730769230769231,BERT EventsAdapt
335,EventsAdapt,bert-large-cased,9,6,0.6474358974358975,BERT EventsAdapt
336,EventsAdapt,bert-large-cased,9,7,0.5769230769230769,BERT EventsAdapt
337,EventsAdapt,bert-large-cased,9,8,0.6602564102564102,BERT EventsAdapt
338,EventsAdapt,bert-large-cased,9,9,0.5961538461538461,BERT EventsAdapt
339,EventsAdapt,bert-large-cased,9,10,0.6602564102564102,BERT EventsAdapt
340,EventsAdapt,bert-large-cased,10,1,0.6089743589743589,BERT EventsAdapt
341,EventsAdapt,bert-large-cased,10,2,0.6025641025641025,BERT EventsAdapt
342,EventsAdapt,bert-large-cased,10,3,0.6217948717948718,BERT EventsAdapt
343,EventsAdapt,bert-large-cased,10,4,0.6730769230769231,BERT EventsAdapt
344,EventsAdapt,bert-large-cased,10,5,0.6410256410256411,BERT EventsAdapt
345,EventsAdapt,bert-large-cased,10,6,0.6282051282051282,BERT EventsAdapt
346,EventsAdapt,bert-large-cased,10,7,0.6666666666666666,BERT EventsAdapt
347,EventsAdapt,bert-large-cased,10,8,0.5897435897435898,BERT EventsAdapt
348,EventsAdapt,bert-large-cased,10,9,0.5705128205128205,BERT EventsAdapt
349,EventsAdapt,bert-large-cased,10,10,0.5769230769230769,BERT EventsAdapt
350,EventsAdapt,bert-large-cased,11,1,0.5448717948717948,BERT EventsAdapt
351,EventsAdapt,bert-large-cased,11,2,0.6346153846153846,BERT EventsAdapt
352,EventsAdapt,bert-large-cased,11,3,0.6153846153846154,BERT EventsAdapt
353,EventsAdapt,bert-large-cased,11,4,0.5897435897435898,BERT EventsAdapt
354,EventsAdapt,bert-large-cased,11,5,0.5705128205128205,BERT EventsAdapt
355,EventsAdapt,bert-large-cased,11,6,0.5705128205128205,BERT EventsAdapt
356,EventsAdapt,bert-large-cased,11,7,0.6089743589743589,BERT EventsAdapt
357,EventsAdapt,bert-large-cased,11,8,0.5897435897435898,BERT EventsAdapt
358,EventsAdapt,bert-large-cased,11,9,0.6410256410256411,BERT EventsAdapt
359,EventsAdapt,bert-large-cased,11,10,0.5448717948717948,BERT EventsAdapt
360,EventsAdapt,bert-large-cased,12,1,0.6474358974358975,BERT EventsAdapt
361,EventsAdapt,bert-large-cased,12,2,0.6346153846153846,BERT EventsAdapt
362,EventsAdapt,bert-large-cased,12,3,0.5833333333333334,BERT EventsAdapt
363,EventsAdapt,bert-large-cased,12,4,0.5897435897435898,BERT EventsAdapt
364,EventsAdapt,bert-large-cased,12,5,0.6346153846153846,BERT EventsAdapt
365,EventsAdapt,bert-large-cased,12,6,0.6282051282051282,BERT EventsAdapt
366,EventsAdapt,bert-large-cased,12,7,0.6153846153846154,BERT EventsAdapt
367,EventsAdapt,bert-large-cased,12,8,0.6153846153846154,BERT EventsAdapt
368,EventsAdapt,bert-large-cased,12,9,0.6089743589743589,BERT EventsAdapt
369,EventsAdapt,bert-large-cased,12,10,0.6666666666666666,BERT EventsAdapt
370,EventsAdapt,bert-large-cased,13,1,0.5769230769230769,BERT EventsAdapt
371,EventsAdapt,bert-large-cased,13,2,0.5833333333333334,BERT EventsAdapt
372,EventsAdapt,bert-large-cased,13,3,0.6282051282051282,BERT EventsAdapt
373,EventsAdapt,bert-large-cased,13,4,0.5961538461538461,BERT EventsAdapt
374,EventsAdapt,bert-large-cased,13,5,0.5833333333333334,BERT EventsAdapt
375,EventsAdapt,bert-large-cased,13,6,0.6346153846153846,BERT EventsAdapt
376,EventsAdapt,bert-large-cased,13,7,0.5641025641025641,BERT EventsAdapt
377,EventsAdapt,bert-large-cased,13,8,0.5833333333333334,BERT EventsAdapt
378,EventsAdapt,bert-large-cased,13,9,0.6282051282051282,BERT EventsAdapt
379,EventsAdapt,bert-large-cased,13,10,0.5512820512820513,BERT EventsAdapt
