,Dataset,Model,Layer,Iteration,Accuracy
122,DTFit,bert-large-cased,13,3,0.7916666666666666
123,DTFit,bert-large-cased,13,4,0.8583333333333333
124,DTFit,bert-large-cased,13,5,0.8083333333333333
125,DTFit,bert-large-cased,13,6,0.7916666666666666
126,DTFit,bert-large-cased,13,7,0.8083333333333333
127,DTFit,bert-large-cased,13,8,0.8333333333333334
128,DTFit,bert-large-cased,13,9,0.7583333333333333
129,DTFit,bert-large-cased,13,10,0.8083333333333333
130,DTFit,bert-large-cased,14,1,0.7833333333333333
131,DTFit,bert-large-cased,14,2,0.8166666666666667
132,DTFit,bert-large-cased,14,3,0.7833333333333333
133,DTFit,bert-large-cased,14,4,0.7916666666666666
134,DTFit,bert-large-cased,14,5,0.8166666666666667
135,DTFit,bert-large-cased,14,6,0.8833333333333333
136,DTFit,bert-large-cased,14,7,0.8
137,DTFit,bert-large-cased,14,8,0.7833333333333333
138,DTFit,bert-large-cased,14,9,0.775
139,DTFit,bert-large-cased,14,10,0.85
140,DTFit,bert-large-cased,15,1,0.8416666666666667
141,DTFit,bert-large-cased,15,2,0.8
142,DTFit,bert-large-cased,15,3,0.8416666666666667
143,DTFit,bert-large-cased,15,4,0.8166666666666667
144,DTFit,bert-large-cased,15,5,0.7583333333333333
145,DTFit,bert-large-cased,15,6,0.825
146,DTFit,bert-large-cased,15,7,0.8083333333333333
147,DTFit,bert-large-cased,15,8,0.8083333333333333
148,DTFit,bert-large-cased,15,9,0.825
149,DTFit,bert-large-cased,15,10,0.8333333333333334
150,DTFit,bert-large-cased,16,1,0.8166666666666667
151,DTFit,bert-large-cased,16,2,0.8083333333333333
152,DTFit,bert-large-cased,16,3,0.875
153,DTFit,bert-large-cased,16,4,0.8833333333333333
154,DTFit,bert-large-cased,16,5,0.8333333333333334
155,DTFit,bert-large-cased,16,6,0.85
156,DTFit,bert-large-cased,16,7,0.8666666666666667
157,DTFit,bert-large-cased,16,8,0.8166666666666667
158,DTFit,bert-large-cased,16,9,0.85
159,DTFit,bert-large-cased,16,10,0.7916666666666666
160,DTFit,bert-large-cased,17,1,0.8
161,DTFit,bert-large-cased,17,2,0.8
162,DTFit,bert-large-cased,17,3,0.8083333333333333
163,DTFit,bert-large-cased,17,4,0.85
164,DTFit,bert-large-cased,17,5,0.85
165,DTFit,bert-large-cased,17,6,0.8333333333333334
166,DTFit,bert-large-cased,17,7,0.7833333333333333
167,DTFit,bert-large-cased,17,8,0.775
168,DTFit,bert-large-cased,17,9,0.8666666666666667
169,DTFit,bert-large-cased,17,10,0.8833333333333333
170,DTFit,bert-large-cased,18,1,0.85
171,DTFit,bert-large-cased,18,2,0.825
172,DTFit,bert-large-cased,18,3,0.8583333333333333
173,DTFit,bert-large-cased,18,4,0.7833333333333333
174,DTFit,bert-large-cased,18,5,0.85
175,DTFit,bert-large-cased,18,6,0.775
176,DTFit,bert-large-cased,18,7,0.9
177,DTFit,bert-large-cased,18,8,0.8083333333333333
178,DTFit,bert-large-cased,18,9,0.8666666666666667
179,DTFit,bert-large-cased,18,10,0.8833333333333333
180,DTFit,bert-large-cased,19,1,0.8416666666666667
181,DTFit,bert-large-cased,19,2,0.8333333333333334
182,DTFit,bert-large-cased,19,3,0.775
183,DTFit,bert-large-cased,19,4,0.85
184,DTFit,bert-large-cased,19,5,0.8
185,DTFit,bert-large-cased,19,6,0.8083333333333333
186,DTFit,bert-large-cased,19,7,0.85
187,DTFit,bert-large-cased,19,8,0.75
188,DTFit,bert-large-cased,19,9,0.775
189,DTFit,bert-large-cased,19,10,0.825
190,DTFit,bert-large-cased,20,1,0.825
191,DTFit,bert-large-cased,20,2,0.7666666666666667
192,DTFit,bert-large-cased,20,3,0.8083333333333333
193,DTFit,bert-large-cased,20,4,0.825
194,DTFit,bert-large-cased,20,5,0.75
195,DTFit,bert-large-cased,20,6,0.7916666666666666
196,DTFit,bert-large-cased,20,7,0.85
197,DTFit,bert-large-cased,20,8,0.8333333333333334
198,DTFit,bert-large-cased,20,9,0.8083333333333333
199,DTFit,bert-large-cased,20,10,0.825
200,DTFit,bert-large-cased,21,1,0.8333333333333334
201,DTFit,bert-large-cased,21,2,0.8083333333333333
202,DTFit,bert-large-cased,21,3,0.7916666666666666
203,DTFit,bert-large-cased,21,4,0.8166666666666667
