"","Voice","Plausibility","Item","n","mean"
"125","active","implausible","298",16,1.125
"126","active","implausible","299",13,3.07692307692308
"127","active","implausible","3",14,4
"128","active","implausible","30",15,2.26666666666667
"129","active","implausible","300",13,1.07692307692308
"130","active","implausible","301",13,1
"131","active","implausible","302",12,1.25
"132","active","implausible","303",14,1.21428571428571
"133","active","implausible","304",13,1
"134","active","implausible","305",15,1.4
"135","active","implausible","306",15,1.66666666666667
"136","active","implausible","307",15,1.06666666666667
"137","active","implausible","308",15,1
"138","active","implausible","309",15,1.13333333333333
"139","active","implausible","31",16,1.0625
"140","active","implausible","310",13,1
"141","active","implausible","311",15,1.13333333333333
"142","active","implausible","312",12,1
"143","active","implausible","313",14,1.78571428571429
"144","active","implausible","314",14,1
"145","active","implausible","315",15,2.26666666666667
"146","active","implausible","316",13,1
"147","active","implausible","317",13,1.38461538461538
"148","active","implausible","318",13,2.07692307692308
"149","active","implausible","319",14,1.35714285714286
"150","active","implausible","32",13,1.38461538461538
"151","active","implausible","320",13,1
"152","active","implausible","321",13,1.07692307692308
"153","active","implausible","322",13,1.46153846153846
"154","active","implausible","323",16,1.375
"155","active","implausible","324",14,1.57142857142857
"156","active","implausible","325",13,1.30769230769231
"157","active","implausible","326",14,1.5
"158","active","implausible","327",15,2.33333333333333
"159","active","implausible","328",15,4.66666666666667
"160","active","implausible","329",13,1.61538461538462
"161","active","implausible","33",15,1.6
"162","active","implausible","330",13,3.84615384615385
"163","active","implausible","331",15,2.14285714285714
"164","active","implausible","332",14,4
"165","active","implausible","333",14,1.07142857142857
"166","active","implausible","334",15,3.46666666666667
"167","active","implausible","335",16,4
"168","active","implausible","336",13,2.69230769230769
"169","active","implausible","337",14,2.78571428571429
"170","active","implausible","338",14,4.5
"171","active","implausible","339",15,4
"172","active","implausible","34",16,1.86666666666667
"173","active","implausible","340",13,4.69230769230769
"174","active","implausible","341",16,2.5625
"175","active","implausible","342",13,4.30769230769231
"176","active","implausible","343",13,3.92307692307692
"177","active","implausible","344",14,1.71428571428571
"178","active","implausible","345",14,2.42857142857143
"179","active","implausible","346",16,3.4375
"180","active","implausible","347",15,3.13333333333333
"181","active","implausible","348",15,4.33333333333333
"182","active","implausible","349",15,5.4
"183","active","implausible","35",14,3.35714285714286
"184","active","implausible","350",12,2.08333333333333
"185","active","implausible","351",13,1.69230769230769
"186","active","implausible","352",14,2.57142857142857
"187","active","implausible","353",13,3.15384615384615
"188","active","implausible","354",13,5.38461538461539
"189","active","implausible","355",16,2.8125
"190","active","implausible","356",16,3.5625
"191","active","implausible","357",15,2.26666666666667
"192","active","implausible","358",16,2.8125
"193","active","implausible","359",14,1.64285714285714
"194","active","implausible","36",15,1.66666666666667
"195","active","implausible","360",13,3
"196","active","implausible","361",16,4.73333333333333
"197","active","implausible","362",14,2.5
"198","active","implausible","363",15,4.8
"199","active","implausible","364",13,5.07692307692308
"200","active","implausible","365",14,3.5
"201","active","implausible","366",14,4.14285714285714
"202","active","implausible","367",13,5.69230769230769
"203","active","implausible","368",14,4.78571428571429
"204","active","implausible","37",15,4.06666666666667
"205","active","implausible","38",13,1.07692307692308
"206","active","implausible","39",14,2.85714285714286
"207","active","implausible","4",14,1.57142857142857
"208","active","implausible","40",13,1.23076923076923
"209","active","implausible","41",15,1.53333333333333
"210","active","implausible","42",13,1.16666666666667
"211","active","implausible","43",14,1.78571428571429
"212","active","implausible","44",12,2.08333333333333
"213","active","implausible","45",15,1
"214","active","implausible","46",13,1
"215","active","implausible","47",13,1
"216","active","implausible","48",15,1.13333333333333
"217","active","implausible","49",15,1.4
"218","active","implausible","5",13,1.15384615384615
"219","active","implausible","50",13,1.92307692307692
"220","active","implausible","51",15,1.46666666666667
"221","active","implausible","52",16,1.375
"222","active","implausible","53",16,1.125
"223","active","implausible","54",14,4.14285714285714
"224","active","implausible","55",14,1.14285714285714
"225","active","implausible","56",13,1.38461538461538
"226","active","implausible","57",13,1.30769230769231
"227","active","implausible","58",13,1
"228","active","implausible","59",13,1
"229","active","implausible","6",14,1
"230","active","implausible","60",14,1
"231","active","implausible","61",16,1.4375
"232","active","implausible","62",13,1.38461538461538
"233","active","implausible","63",15,1.4
"234","active","implausible","64",14,1.14285714285714
"235","active","implausible","65",14,2
"236","active","implausible","66",15,2.78571428571429
"237","active","implausible","67",15,2.06666666666667
"238","active","implausible","68",16,1.25
"239","active","implausible","69",13,3.46153846153846
"240","active","implausible","7",16,1.4375
"241","active","implausible","70",16,1.125
"242","active","implausible","71",15,1.13333333333333
"243","active","implausible","72",13,1.46153846153846
"244","active","implausible","73",13,1
"245","active","implausible","74",13,1.76923076923077
"246","active","implausible","75",15,1.2
"247","active","implausible","76",13,2.61538461538462
"248","active","implausible","77",15,1.2
"249","active","implausible","78",14,4.28571428571429
"250","active","implausible","79",14,2.71428571428571
"251","active","implausible","8",14,1.21428571428571
"252","active","implausible","80",14,2.78571428571429
"253","active","implausible","81",13,1.15384615384615
"254","active","implausible","82",15,1.93333333333333
"255","active","implausible","83",13,1.15384615384615
"256","active","implausible","84",14,1.42857142857143
"257","active","implausible","85",15,1.4
"258","active","implausible","86",13,1
"259","active","implausible","87",16,1.4375
"260","active","implausible","88",13,1.84615384615385
"261","active","implausible","89",15,3.4
"262","active","implausible","9",15,1.6
"263","active","implausible","90",13,4.15384615384615
"264","active","implausible","91",14,4.85714285714286
"265","active","implausible","92",13,4.92307692307692
"266","active","implausible","93",15,4.2
"267","active","implausible","94",15,3.6
