Item,Plausibility,Voice,m,stdev
1,implausible,active,4.357142857142857,2.468482650011256
1,implausible,passive,2.4615384615384617,1.7614096918559585
1,plausible,active,5.5,1.6984155512168937
1,plausible,passive,6.071428571428571,1.2066664642907567
2,implausible,active,1.7857142857142858,1.42389343964797
2,implausible,passive,1.6428571428571428,1.499083969380217
2,plausible,active,5.466666666666667,1.9223002094465098
2,plausible,passive,5.769230769230769,1.640825308284734
3,implausible,active,4.285714285714286,2.2677868380553634
3,implausible,passive,3.857142857142857,2.1788191176076888
3,plausible,active,5.923076923076923,1.6563785025137654
3,plausible,passive,5,2.3533936216582085
4,implausible,active,3.076923076923077,2.325995788959303
4,implausible,passive,3.2,2.4260491103261463
4,plausible,active,6,1.7541160386140584
4,plausible,passive,4.214285714285714,2.939873661036668
5,implausible,active,2.230769230769231,2.24179415327122
5,implausible,passive,3.642857142857143,2.373155732746617
5,plausible,active,6.142857142857143,1.4064216928154862
5,plausible,passive,6.285714285714286,0.9138735334633754
6,implausible,active,1.2307692307692308,0.8320502943378437
6,implausible,passive,1.6428571428571428,1.6458405781822274
6,plausible,active,5.928571428571429,1.071611705960535
6,plausible,passive,6.545454545454546,0.8201995322647244
7,implausible,active,1.1875,0.5439056290693574
7,implausible,passive,1.5384615384615385,1.3301243435223524
7,plausible,active,6.2,1.2649110640673518
7,plausible,passive,6,1.1952286093343936
8,implausible,active,2.0714285714285716,1.8171950369175571
8,implausible,passive,1.1428571428571428,0.36313651960128146
8,plausible,active,6.4,0.828078671210825
8,plausible,passive,6.076923076923077,1.1875421719907089
9,implausible,active,1.7333333333333334,1.791514389985135
9,implausible,passive,2.0833333333333335,2.108783937953269
9,plausible,active,6.090909090909091,1.4459976109624424
9,plausible,passive,6.785714285714286,0.5789342235218394
10,implausible,active,1.7857142857142858,1.847183778644646
10,implausible,passive,1.3846153846153846,1.3867504905630728
10,plausible,active,6.181818181818182,0.9816498172140428
10,plausible,passive,5.285714285714286,1.3827826698682306
11,implausible,active,1.4,1.2983506020002016
11,implausible,passive,1.9285714285714286,1.8999710813299528
11,plausible,active,5.230769230769231,1.786703022974913
11,plausible,passive,5.333333333333333,1.632993161855452
12,implausible,active,2.8461538461538463,2.5444761689508852
12,implausible,passive,2.2666666666666666,1.98086080374405
12,plausible,active,6.214285714285714,1.1883130530663677
12,plausible,passive,6.142857142857143,1.7032612545052803
13,implausible,active,3.142857142857143,1.8752289237539816
13,implausible,passive,4.181818181818182,2.400757456228422
13,plausible,active,6.866666666666666,0.5163977794943222
13,plausible,passive,6.5,0.674199862463242
14,implausible,active,1,0
14,implausible,passive,1.7857142857142858,1.5281246137553166
14,plausible,active,6,1.6832508230603465
14,plausible,passive,6,1.6903085094570331
15,implausible,active,2.1333333333333333,2.356349072692956
15,implausible,passive,1.6,1.5946338585572373
15,plausible,active,6.9375,0.25
15,plausible,passive,6.75,0.8660254037844386
16,implausible,active,2.1333333333333333,2.0307165050320353
16,implausible,passive,1.9230769230769231,1.7541160386140584
16,plausible,active,6.857142857142857,0.36313651960128146
16,plausible,passive,6.357142857142857,1.3363062095621219
17,implausible,active,2.1333333333333333,1.9591057240729093
17,implausible,passive,2.230769230769231,2.1661735138967266
17,plausible,active,6.533333333333333,0.9154754164341269
17,plausible,passive,6.571428571428571,0.8516306272526402
18,implausible,active,2.7142857142857144,2.4939487203589854
18,implausible,passive,2,2.23606797749979
18,plausible,active,6.928571428571429,0.2672612419124244
18,plausible,passive,7,0
19,implausible,active,1.6666666666666667,1.7232808737106582
19,implausible,passive,2.3333333333333335,2.439750182371333
19,plausible,active,6.642857142857143,0.9287827316640651
19,plausible,passive,6,1.61245154965971
20,implausible,active,1.4615384615384615,1.6641005886756874
20,implausible,passive,1.4285714285714286,1.6035674514745464
20,plausible,active,6,0.9607689228305228
20,plausible,passive,6.090909090909091,1.868397465987655
21,implausible,active,1.4615384615384615,1.126601424298216
21,implausible,passive,1.3125,0.7932002689527196
21,plausible,active,6.266666666666667,1.486446705914413
21,plausible,passive,6.6,0.7367883976130072
22,implausible,active,1.7857142857142858,1.6723346844167577
22,implausible,passive,2.7857142857142856,2.22498302253061
22,plausible,active,5.230769230769231,1.832750490103429
22,plausible,passive,6.071428571428571,1.2688144505364485
23,implausible,active,1.4666666666666666,1.1254628677422756
23,implausible,passive,2.357142857142857,2.373155732746617
23,plausible,active,5.538461538461538,1.5607361839521232
23,plausible,passive,5.4375,1.5041608956491324
24,implausible,active,3.7857142857142856,2.3263894583856572
24,implausible,passive,3.533333333333333,2.2949219304078006
24,plausible,active,5,1.7795130420052185
24,plausible,passive,5.8,1.65615734242165
25,implausible,active,3.7857142857142856,2.006856379383569
25,implausible,passive,3.5714285714285716,2.064881658530644
25,plausible,active,3.7857142857142856,2.4235565546581275
25,plausible,passive,3.6666666666666665,2.229281716090851
26,implausible,active,2.2,2.210365192839022
26,implausible,passive,2.923076923076923,2.2898885875932358
26,plausible,active,6.571428571428571,1.0894095588038444
26,plausible,passive,6.357142857142857,0.8418973861410954
27,implausible,active,2.357142857142857,2.2738358934473855
27,implausible,passive,2.066666666666667,2.086236073022646
27,plausible,active,6.533333333333333,0.9154754164341269
27,plausible,passive,6.615384615384615,0.6504436355879909
28,implausible,active,2.642857142857143,2.3074175660629406
28,implausible,passive,2.5384615384615383,1.941450686788302
28,plausible,active,6.714285714285714,1.0690449676496976
28,plausible,passive,6.142857142857143,1.6104057232283402
29,implausible,active,2.9285714285714284,1.8590438284354558
29,implausible,passive,3.642857142857143,2.169974932756415
