Item,Plausibility,Voice,m,stdev
29,plausible,active,6.071428571428571,1.8171950369175571
29,plausible,passive,5.538461538461538,1.8980421761815787
30,implausible,active,3.6153846153846154,2.59930957302324
30,implausible,passive,3.0714285714285716,2.26899793925681
30,plausible,active,5.714285714285714,2.0913216810491813
30,plausible,passive,6,1.8810798862519205
31,implausible,active,1.4375,1.5041608956491324
31,implausible,passive,1.4615384615384615,1.126601424298216
31,plausible,active,6.666666666666667,1.0465362369445672
31,plausible,passive,6.733333333333333,0.5936168397046637
32,implausible,active,2.2142857142857144,2.0448272986535274
32,implausible,passive,2.5714285714285716,2.064881658530644
32,plausible,active,6.076923076923077,1.7059473644448735
32,plausible,passive,6.733333333333333,0.5936168397046637
33,implausible,active,2.4,2.3543273227945902
33,implausible,passive,2.3333333333333335,2.2696949467968492
33,plausible,active,6.363636363636363,0.8090398349558905
33,plausible,passive,6.5,1.1602387022306428
34,implausible,active,2.2857142857142856,2.3996336716761077
34,implausible,passive,2.6153846153846154,2.3992520201950973
34,plausible,active,6.636363636363637,0.674199862463242
34,plausible,passive,5.857142857142857,1.7032612545052803
35,implausible,active,3.857142857142857,2.3812454032143915
35,implausible,passive,4.846153846153846,2.1152680620571416
35,plausible,active,6.538461538461538,0.5188745216627708
35,plausible,passive,6.357142857142857,0.9287827316640651
36,implausible,active,2.3846153846153846,2.103111248383433
36,implausible,passive,3.857142857142857,2.476260917566671
36,plausible,active,6.230769230769231,1.739436985245808
36,plausible,passive,4.571428571428571,2.6519741765271836
37,implausible,active,4,2.1483446221182985
37,implausible,passive,5.909090909090909,1.9211738835693897
37,plausible,active,6.533333333333333,1.3020130933435712
37,plausible,passive,5.333333333333333,1.775250729197189
38,implausible,active,2.2857142857142856,1.7288756430151329
38,implausible,passive,2.5714285714285716,2.3109866595589295
38,plausible,active,6.666666666666667,0.7237468644557459
38,plausible,passive,4.923076923076923,1.9774368283857793
39,implausible,active,2.533333333333333,1.995232412766087
39,implausible,passive,2.923076923076923,2.3965787580611124
39,plausible,active,6.2,1.2649110640673518
39,plausible,passive,5.357142857142857,1.9057460827371866
40,implausible,active,1.4285714285714286,0.8516306272526402
40,implausible,passive,2.0714285714285716,2.1649048909393658
40,plausible,active,6.461538461538462,0.8770580193070292
40,plausible,passive,6.214285714285714,1.7177163475234933
41,implausible,active,3.2142857142857144,2.4862257904942346
41,implausible,passive,2.7142857142857144,2.3673604720015926
41,plausible,active,5.714285714285714,1.8575654633281302
41,plausible,passive,6.230769230769231,1.535895295576609
42,implausible,active,2.3076923076923075,2.1363760352762253
42,implausible,passive,2.466666666666667,2.4746332099544617
42,plausible,active,4.714285714285714,1.5406577730392865
42,plausible,passive,3.7142857142857144,2.4939487203589854
43,implausible,active,2.5833333333333335,2.0652243256245835
43,implausible,passive,2.466666666666667,2.0998866182543785
43,plausible,active,6.571428571428571,0.9376144618769908
43,plausible,passive,6.363636363636363,1.026910636104941
44,implausible,active,2.642857142857143,2.097879620259204
44,implausible,passive,1.9230769230769231,1.4978617237881953
44,plausible,active,6.785714285714286,0.5789342235218394
44,plausible,passive,6.571428571428571,0.646206172658864
45,implausible,active,2,2.0754980866510833
45,implausible,passive,1.7333333333333334,1.624221425205085
45,plausible,active,6.466666666666667,0.9154754164341269
45,plausible,passive,6.846153846153846,0.3755338080994054
46,implausible,active,2.0714285714285716,2.1290765681316004
46,implausible,passive,1.6428571428571428,1.7368026705655184
46,plausible,active,5.571428571428571,2.064881658530644
46,plausible,passive,5.3076923076923075,1.6012815380508714
47,implausible,active,1.5384615384615385,1.3301243435223524
47,implausible,passive,1.3125,1.0144785195688801
47,plausible,active,5,1.927248223318863
47,plausible,passive,5,1.647508942095828
48,implausible,active,1.1428571428571428,0.36313651960128146
48,implausible,passive,1.6428571428571428,1.3363062095621219
48,plausible,active,6.3076923076923075,1.1094003924504583
48,plausible,passive,5.933333333333334,1.5796322658258457
49,implausible,active,2.066666666666667,2.2189658681037714
49,implausible,passive,2.2,2.336052836975837
49,plausible,active,4.384615384615385,2.6311740579210876
49,plausible,passive,5.25,2.265686062395524
50,implausible,active,2.142857142857143,2.14322341192107
50,implausible,passive,3.2857142857142856,2.334641182398154
50,plausible,active,5.846153846153846,1.3445044840729643
50,plausible,passive,6.133333333333334,1.1872336794093274
51,implausible,active,2.3076923076923075,2.3588350014578308
51,implausible,passive,2.1333333333333333,1.8073922282301278
51,plausible,active,5.5,2.345207879911715
51,plausible,passive,5.266666666666667,2.3135213317324204
52,implausible,active,2.857142857142857,2.5071326821120348
52,implausible,passive,1.4545454545454546,1.5075567228888183
52,plausible,active,7,0
52,plausible,passive,7,0
53,implausible,active,1.375,1.02469507659596
53,implausible,passive,4,2.581988897471611
53,plausible,active,6.8,0.4140393356054125
53,plausible,passive,6.466666666666667,0.8338093878327919
54,implausible,active,3.933333333333333,2.3135213317324204
54,implausible,passive,5.6923076923076925,1.377474463442389
54,plausible,active,5.142857142857143,2.4133329285815135
54,plausible,passive,5.785714285714286,1.5281246137553166
55,implausible,active,2.357142857142857,2.0608863984346026
55,implausible,passive,2.7857142857142856,2.0821058655036815
55,plausible,active,6.083333333333333,1.2401124093721456
55,plausible,passive,6.071428571428571,1.6391501416322993
56,implausible,active,2.4,1.9566735620873066
56,implausible,passive,2.6153846153846154,2.567049588485503
56,plausible,active,6,1.7097008285302207
56,plausible,passive,5.785714285714286,1.625686668105863
57,implausible,active,2.1333333333333333,2.356349072692956
57,implausible,passive,1.4666666666666666,1.245945806357946
57,plausible,active,6.8125,0.5439056290693574
57,plausible,passive,6.538461538461538,1.126601424298216
58,implausible,active,2.357142857142857,2.0232168923292906
58,implausible,passive,2.142857142857143,1.9944979263017493
58,plausible,active,6.133333333333334,1.7674302033770737
58,plausible,passive,6.153846153846154,1.5191090506254998
59,implausible,active,1.25,0.8660254037844386
59,implausible,passive,1.5,1.3165611772087666
59,plausible,active,6.866666666666666,0.3518657752744984
59,plausible,passive,6.533333333333333,1.245945806357946
60,implausible,active,1.7857142857142858,1.625686668105863
60,implausible,passive,1,0
60,plausible,active,6.666666666666667,0.8997354108424374
60,plausible,passive,6.615384615384615,0.6504436355879909
61,implausible,active,1.7333333333333334,1.6676187756655838
61,implausible,passive,2,2
61,plausible,active,6.538461538461538,0.6602252917735247
61,plausible,passive,6.666666666666667,0.7237468644557459
62,implausible,active,1.8181818181818181,1.834021909257456
62,implausible,passive,2.2142857142857144,1.9286731759891875
62,plausible,active,6.846153846153846,0.3755338080994054
62,plausible,passive,7,0
63,implausible,active,2.066666666666667,2.2189658681037714
63,implausible,passive,1.9333333333333333,1.98086080374405
63,plausible,active,6.538461538461538,0.9674179220468452
63,plausible,passive,6.8125,0.5439056290693574
64,implausible,active,2.230769230769231,2.2043081361221617
64,implausible,passive,2.2666666666666666,2.086236073022646
64,plausible,active,6.214285714285714,1.1883130530663677
64,plausible,passive,6,2.0754980866510833
65,implausible,active,2.3333333333333335,1.7593288763724921
65,implausible,passive,2.5384615384615383,1.9839096340048947
65,plausible,active,6.4,0.9856107606091623
65,plausible,passive,5.642857142857143,1.864945569720998
66,implausible,active,2.923076923076923,2.660248687044705
66,implausible,passive,4.285714285714286,2.3673604720015926
66,plausible,active,5.6923076923076925,1.2506408613597126
66,plausible,passive,5.8,1.3201731488169053
67,implausible,active,3.142857142857143,2.4449993820085063
67,implausible,passive,1.6,1.2421180068162376
67,plausible,active,5.133333333333334,1.7674302033770737
67,plausible,passive,5.076923076923077,1.84668795692624
68,implausible,active,1.5714285714285714,1.650840611711114
68,implausible,passive,1.4615384615384615,1.6641005886756874
68,plausible,active,6.636363636363637,0.674199862463242
68,plausible,passive,5,1.5118578920369088
69,implausible,active,3.727272727272727,1.8488325554743508
69,implausible,passive,2.7857142857142856,2.1187286256174924
69,plausible,active,6.333333333333333,0.9847319278346619
69,plausible,passive,6.8,0.4140393356054125
70,implausible,active,2.142857142857143,1.7478401113789142
70,implausible,passive,1.8181818181818181,1.834021909257456
70,plausible,active,5.857142857142857,1.6104057232283402
70,plausible,passive,6.230769230769231,1.6908501882113505
71,implausible,active,1.8,2.1111946516469904
71,implausible,passive,2,1.7888543819998317
71,plausible,active,5.7272727272727275,1.555050423035156
71,plausible,passive,6.428571428571429,1.0894095588038444
72,implausible,active,2.2666666666666666,2.1201976547572388
72,implausible,passive,2.3076923076923075,2.1363760352762253
72,plausible,active,6.153846153846154,1.6756169931378433
72,plausible,passive,6.214285714285714,1.3114039117603011
73,implausible,active,2.066666666666667,2.250925735484551
73,implausible,passive,2.6,2.3543273227945902
73,plausible,active,6.375,1.2041594578792296
73,plausible,passive,5.846153846153846,1.9513309067639726
74,implausible,active,3.3076923076923075,2.5943726083138543
74,implausible,passive,1.9333333333333333,1.9444671200491874
74,plausible,active,6.2,1.2071217242444348
74,plausible,passive,6.571428571428571,0.9376144618769908
75,implausible,active,2.3076923076923075,2.323238235187235
75,implausible,passive,1.6,1.121223821162776
75,plausible,active,6.285714285714286,1.2043875831929896
75,plausible,passive,6.466666666666667,0.9154754164341269
76,implausible,active,2.0714285714285716,1.542439911024374
76,implausible,passive,2.7142857142857144,2.198900824313101
76,plausible,active,6.166666666666667,1.403458930534474
76,plausible,passive,6.733333333333333,0.5936168397046637
77,implausible,active,1.5714285714285714,1.1578684470436789
77,implausible,passive,3.3636363636363638,2.766684921443975
77,plausible,active,6.466666666666667,1.5976172734359604
77,plausible,passive,6.666666666666667,0.8876253645985945
78,implausible,active,4.066666666666666,2.250925735484551
78,implausible,passive,5,1.9578900207451218
78,plausible,active,6.642857142857143,0.744946343668492
78,plausible,passive,5.6,1.5491933384829668
79,implausible,active,3.75,2.220769727328383
79,implausible,passive,3.4285714285714284,2.5634797778466227
79,plausible,active,3.7142857142857144,1.938618517976592
79,plausible,passive,5,1.5491933384829668
80,implausible,active,3,2.41522945769824
80,implausible,passive,4.571428571428571,2.10180456217566
80,plausible,active,4.533333333333333,1.9591057240729093
80,plausible,passive,4.090909090909091,1.9211738835693897
81,implausible,active,1.6153846153846154,1.12089707663561
81,implausible,passive,1.75,1.5275252316519468
81,plausible,active,6.133333333333334,1.245945806357946
81,plausible,passive,6.6,1.0555973258234952
82,implausible,active,2.6153846153846154,2.1809195896250406
82,implausible,passive,3.5714285714285716,2.6228078235206023
82,plausible,active,6.071428571428571,1.7304639535412156
82,plausible,passive,6.785714285714286,0.5789342235218394
83,implausible,active,3.3636363636363638,2.618118686107537
83,implausible,passive,1.5,1.286019499792345
83,plausible,active,6.75,0.8660254037844386
83,plausible,passive,6.866666666666666,0.5163977794943222
84,implausible,active,2.076923076923077,1.7541160386140584
84,implausible,passive,2.6666666666666665,2.0586634591635513
84,plausible,active,5.928571428571429,1.2066664642907567
84,plausible,passive,6.571428571428571,0.7559289460184544
85,implausible,active,2,2.104417123236605
85,implausible,passive,2.2857142857142856,2.054210364052382
85,plausible,active,6.083333333333333,1.2401124093721456
85,plausible,passive,6.375,0.8850612031567836
86,implausible,active,2.2857142857142856,2.054210364052382
86,implausible,passive,2.2857142857142856,2.198900824313101
86,plausible,active,6.533333333333333,1.1254628677422756
86,plausible,passive,6.3076923076923075,1.2506408613597126
87,implausible,active,1.375,1.2583057392117916
87,implausible,passive,1.6153846153846154,1.325296290046213
87,plausible,active,6.733333333333333,0.7988086367179802
87,plausible,passive,6.4,1.5946338585572373
88,implausible,active,2.3636363636363638,2.377928816122437
88,implausible,passive,3.2,2.596701204000403
88,plausible,active,5.769230769230769,2.2043081361221617
88,plausible,passive,6.642857142857143,0.8418973861410954
89,implausible,active,4.230769230769231,1.9644272343292228
89,implausible,passive,3.2666666666666666,1.8309508328682538
89,plausible,active,6.428571428571429,1.1578684470436789
89,plausible,passive,6.733333333333333,0.5936168397046637
90,implausible,active,5.071428571428571,1.328057326976612
90,implausible,passive,3.142857142857143,1.9944979263017493
90,plausible,active,6.066666666666666,1.3870146083619754
90,plausible,passive,6,1.4142135623730951
91,implausible,active,4.071428571428571,2.05554730553075
91,implausible,passive,4.6923076923076925,2.3939025107069902
91,plausible,active,6.285714285714286,0.9944903161976938
91,plausible,passive,6.428571428571429,1.0163498575623617
92,implausible,active,5.285714285714286,1.3259870882635918
92,implausible,passive,4.785714285714286,1.847183778644646
92,plausible,active,4.857142857142857,2.10702644491246
92,plausible,passive,5.461538461538462,1.7614096918559585
93,implausible,active,4.928571428571429,1.6854255666327542
93,implausible,passive,4.285714285714286,2.4314785444432596
93,plausible,active,5.571428571428571,1.650840611711114
93,plausible,passive,5.538461538461538,1.6641005886756874
94,implausible,active,4.076923076923077,2.1779783615981456
94,implausible,passive,4,2.253202848596432
94,plausible,active,6.230769230769231,1.0127393670836666
94,plausible,passive,6.615384615384615,0.7679476477883045
95,implausible,active,4.769230769230769,2.087815690853567
95,implausible,passive,4.785714285714286,1.9286731759891875
95,plausible,active,5.5,1.5566235649883124
95,plausible,passive,5.928571428571429,0.9972489631508746
96,implausible,active,5.3076923076923075,2.2130151145972543
96,implausible,passive,6.142857142857143,1.2314558524297639
96,plausible,active,5.642857142857143,1.3926810257774174
96,plausible,passive,5.818181818181818,1.4012980994907414
97,implausible,active,4.4,2.0976176963403033
97,implausible,passive,2.5833333333333335,2.0652243256245835
97,plausible,active,3.5454545454545454,2.3393860888547815
97,plausible,passive,3.5714285714285716,2.7093651176353735
98,implausible,active,3.5,2.6770630673681683
98,implausible,passive,3.8,2.1111946516469904
98,plausible,active,3.6153846153846154,2.9871519752227074
98,plausible,passive,3.4285714285714284,2.793241450751761
99,implausible,active,5,2
99,implausible,passive,4.357142857142857,2.134231724753677
99,plausible,active,4.769230769230769,2.4205318339105477
99,plausible,passive,4.642857142857143,2.340517459456771
100,implausible,active,6.076923076923077,1.255755978254962
100,implausible,passive,5.466666666666667,1.7674302033770737
100,plausible,active,6.071428571428571,1.2688144505364485
100,plausible,passive,5.285714285714286,1.4373357526806554
101,implausible,active,1.5,1.286019499792345
101,implausible,passive,3,2.32379000772445
101,plausible,active,6.866666666666666,0.5163977794943222
101,plausible,passive,6.75,0.621581560508061
102,implausible,active,3.142857142857143,2.1788191176076888
102,implausible,passive,3.6923076923076925,2.52931530209974
102,plausible,active,5.454545454545454,1.916436086262016
102,plausible,passive,5.857142857142857,1.4064216928154862
103,implausible,active,6.142857142857143,1.2314558524297639
103,implausible,passive,5.538461538461538,1.3913653136029502
103,plausible,active,6,1.3008872711759818
103,plausible,passive,6.142857142857143,1.292412345317728
104,implausible,active,6.428571428571429,1.2838814775327387
104,implausible,passive,6.7272727272727275,0.46709936649691375
104,plausible,active,6.714285714285714,0.825420305855557
104,plausible,passive,6.230769230769231,1.1657505560686467
105,implausible,active,5.714285714285714,0.9944903161976938
105,implausible,passive,4.4,2.1313979316066587
105,plausible,active,5.1875,1.8697147732564272
105,plausible,passive,5.615384615384615,1.4455945454184551
106,implausible,active,4.285714285714286,1.977899874131123
106,implausible,passive,4.214285714285714,2.2930856412794003
106,plausible,active,6,1.224744871391589
106,plausible,passive,6.5,1.3445044840729643
107,implausible,active,4.466666666666667,2.0998866182543785
107,implausible,passive,3.642857142857143,1.6458405781822274
107,plausible,active,6.153846153846154,1.6756169931378433
107,plausible,passive,6.571428571428571,0.8516306272526402
108,implausible,active,3.3076923076923075,2.1363760352762253
108,implausible,passive,4.071428571428571,1.7743595036946849
108,plausible,active,5.857142857142857,1.3506205330054124
108,plausible,passive,6.636363636363637,0.674199862463242
109,implausible,active,5.333333333333333,1.2344267996967353
109,implausible,passive,5.153846153846154,1.9513309067639726
109,plausible,active,6.4,1.0555973258234952
109,plausible,passive,6.285714285714286,0.9944903161976938
110,implausible,active,5.214285714285714,1.9681530361296535
110,implausible,passive,3.923076923076923,1.9774368283857793
110,plausible,active,6.142857142857143,1.292412345317728
110,plausible,passive,5.5,1.9513309067639726
111,implausible,active,5.857142857142857,1.2314558524297639
111,implausible,passive,6.071428571428571,1.328057326976612
111,plausible,active,5.928571428571429,1.3847680013570567
111,plausible,passive,6.076923076923077,0.8623164985025763
112,implausible,active,5.7272727272727275,1.6787441193290353
112,implausible,passive,5.466666666666667,1.4573295865416045
112,plausible,active,6,1.2909944487358056
112,plausible,passive,5.714285714285714,2.1277858274442303
113,implausible,active,4.076923076923077,2.019139192062567
113,implausible,passive,5.214285714285714,1.9681530361296535
113,plausible,active,5.142857142857143,1.292412345317728
113,plausible,passive,4.928571428571429,1.6854255666327542
114,implausible,active,4.357142857142857,2.2738358934473855
114,implausible,passive,4.533333333333333,1.5522640914238175
114,plausible,active,5.3076923076923075,1.702185623672077
114,plausible,passive,6.2,1.52127765851133
115,implausible,active,5,2.04494943258218
115,implausible,passive,5.466666666666667,1.9223002094465098
115,plausible,active,6.214285714285714,1.3114039117603011
115,plausible,passive,6.181818181818182,0.9816498172140428
116,implausible,active,3.5714285714285716,2.5027457449242148
116,implausible,passive,3.5714285714285716,2.027286390693261
116,plausible,active,6.461538461538462,0.9674179220468452
116,plausible,passive,5.933333333333334,1.98086080374405
117,implausible,active,4.3,2.2135943621178655
117,implausible,passive,3.5714285714285716,1.9499225118444583
117,plausible,active,6.25,1.764549903980152
117,plausible,passive,6.333333333333333,1.2344267996967353
118,implausible,active,2.466666666666667,1.4573295865416045
118,implausible,passive,3,1.7795130420052185
118,plausible,active,6.642857142857143,0.6333236937766509
118,plausible,passive,5.857142857142857,1.0994504121565505
119,implausible,active,2.857142857142857,2.0326997151247235
119,implausible,passive,4.071428571428571,1.8999710813299528
119,plausible,active,5.923076923076923,1.255755978254962
119,plausible,passive,5.5,2.0662116951635836
120,implausible,active,3.7142857142857144,2.2336094083368714
120,implausible,passive,4.071428571428571,2.26899793925681
120,plausible,active,6.714285714285714,0.6112498455021266
120,plausible,passive,5.769230769230769,1.4806443503784736
121,implausible,active,4.266666666666667,2.016597794967223
121,implausible,passive,4.416666666666667,1.9752253419585197
121,plausible,active,6.454545454545454,0.6875516509523286
121,plausible,passive,6.5,0.9405399431259602
122,implausible,active,5.642857142857143,1.549547966698321
122,implausible,passive,4.3076923076923075,2.250356097177192
122,plausible,active,6,1.4142135623730951
122,plausible,passive,5.733333333333333,1.624221425205085
123,implausible,active,3.2142857142857144,2.1547290184283368
123,implausible,passive,3.1333333333333333,2.5597618936887376
123,plausible,active,6.466666666666667,0.990430401872025
123,plausible,passive,6.153846153846154,1.7246329970051526
124,implausible,active,3.3846153846153846,2.0223114472661203
124,implausible,passive,3.7142857142857144,2.1277858274442303
124,plausible,active,6.571428571428571,0.7559289460184544
124,plausible,passive,6.857142857142857,0.5345224838248488
125,implausible,active,4.461538461538462,1.8081014266989475
125,implausible,passive,5.2,1.424279266355945
125,plausible,active,5.266666666666667,2.016597794967223
125,plausible,passive,5,1.4638501094227998
126,implausible,active,4.357142857142857,2.2738358934473855
126,implausible,passive,3.5,2.139374459257443
126,plausible,active,6,1.348399724926484
126,plausible,passive,5.357142857142857,2.134231724753677
127,implausible,active,3.142857142857143,1.4600918230947435
127,implausible,passive,4.636363636363637,1.8586407545691703
127,plausible,active,6.933333333333334,0.2581988897471611
127,plausible,passive,6.333333333333333,1.6143297699232972
128,implausible,active,3.5714285714285716,1.9889806323953876
128,implausible,passive,3.3076923076923075,2.4625398604088753
128,plausible,active,6.071428571428571,1.6391501416322993
128,plausible,passive,6.571428571428571,0.7559289460184544
129,implausible,active,5.153846153846154,1.5191090506254998
129,implausible,passive,5.333333333333333,1.4474937289114918
129,plausible,active,6,1.3008872711759818
129,plausible,passive,6.066666666666666,1.4375905768565218
130,implausible,active,5.5,1.4005493427717788
130,implausible,passive,5.6,1.776388345929897
130,plausible,active,6.142857142857143,1.2314558524297639
130,plausible,passive,6,1.7795130420052185
131,implausible,active,5.4,2.197401062294143
131,implausible,passive,4.785714285714286,1.9681530361296535
131,plausible,active,6.615384615384615,0.5063696835418333
131,plausible,passive,6.066666666666666,1.0997835284835873
132,implausible,active,6,1.4142135623730951
132,implausible,passive,5.538461538461538,1.5607361839521232
132,plausible,active,6.071428571428571,1.6391501416322993
132,plausible,passive,6,1.3093073414159542
133,implausible,active,5.916666666666667,1.2401124093721456
133,implausible,passive,5.933333333333334,1.4375905768565218
133,plausible,active,6.214285714285714,1.3688047244316384
133,plausible,passive,6.090909090909091,1.044465935734187
134,implausible,active,4.071428571428571,2.1649048909393658
134,implausible,passive,3.4285714285714284,2.138089935299395
134,plausible,active,6.846153846153846,0.3755338080994054
134,plausible,passive,6.153846153846154,1.4051188470584879
135,implausible,active,3.642857142857143,2.169974932756415
135,implausible,passive,4.461538461538462,2.258885588639695
135,plausible,active,6.071428571428571,0.8287419301647448
135,plausible,passive,5.928571428571429,1.7304639535412156
136,implausible,active,4.769230769230769,1.9215378456610457
136,implausible,passive,4.714285714285714,2.30145677706606
136,plausible,active,5.2,2.0770858707058104
136,plausible,passive,5.090909090909091,2.385562636132007
137,implausible,active,4.571428571428571,1.4525460784051258
137,implausible,passive,4.428571428571429,1.8277470669267508
137,plausible,active,3.7857142857142856,2.3592231912080863
137,plausible,passive,5,1.7795130420052185
138,implausible,active,3.7333333333333334,1.8309508328682538
138,implausible,passive,3.2857142857142856,2.198900824313101
138,plausible,active,6.928571428571429,0.2672612419124244
138,plausible,passive,5.923076923076923,1.4978617237881953
139,implausible,active,3.6666666666666665,1.9148542155126762
139,implausible,passive,3.5384615384615383,1.9839096340048947
139,plausible,active,6.571428571428571,0.7559289460184544
139,plausible,passive,6.357142857142857,1.5984195491000024
140,implausible,active,3.0714285714285716,2.0926349130034314
140,implausible,passive,2.142857142857143,1.7032612545052803
140,plausible,active,5.933333333333334,1.709915063331955
140,plausible,passive,6.461538461538462,1.126601424298216
141,implausible,active,3.142857142857143,1.7913099142223294
141,implausible,passive,3.6666666666666665,2.160246899469287
141,plausible,active,6.466666666666667,1.3557637102737474
141,plausible,passive,6.769230769230769,0.5991446895152781
142,implausible,active,3.6153846153846154,2.103111248383433
142,implausible,passive,2.8666666666666667,2.2318047362958033
142,plausible,active,5.733333333333333,1.3870146083619754
142,plausible,passive,5.071428571428571,2.1649048909393658
143,implausible,active,3.727272727272727,2.2843339988236875
143,implausible,passive,2.4285714285714284,1.3424596091494903
143,plausible,active,5.333333333333333,1.556997888323046
143,plausible,passive,6.733333333333333,0.45773770821706344
