0,0.375,0.0,0.375,0.375,0.375,0.25,0.375,0.375,0.3333333333333333,0.3333333333333333
1,0.625,0.375,0.25,0.25,0.5,0.375,0.5,0.375,0.16666666666666666,0.3333333333333333
2,0.125,0.375,0.25,0.25,0.375,0.5,0.25,0.375,0.6666666666666666,0.3333333333333333
3,0.375,0.25,0.5,0.5,0.625,0.25,0.5,0.375,0.5,0.3333333333333333
4,0.25,0.375,0.5,0.375,0.625,0.5,0.5,0.25,0.3333333333333333,0.5
5,0.5,0.5,0.5,0.5,0.375,0.375,0.375,0.375,0.6666666666666666,0.3333333333333333
6,0.5,0.5,0.25,0.375,0.5,0.75,0.625,0.5,0.5,0.5
7,0.375,0.625,0.625,0.75,0.625,0.25,0.25,0.5,0.5,0.3333333333333333
8,0.375,0.625,0.25,0.375,0.625,0.625,0.125,0.5,0.5,0.6666666666666666
9,0.375,0.625,0.875,0.5,0.375,0.625,0.875,0.625,0.5,0.6666666666666666
10,0.375,0.375,0.5,0.375,0.625,0.375,0.625,0.625,0.8333333333333334,0.5
11,0.75,0.375,0.375,0.625,0.75,0.625,0.5,0.5,0.6666666666666666,0.5
12,0.625,0.5,0.625,0.5,0.5,0.625,0.625,0.375,0.6666666666666666,0.3333333333333333
13,0.5,0.25,0.5,0.625,0.25,0.5,0.625,0.625,0.3333333333333333,0.16666666666666666
14,0.5,0.375,0.625,0.5,0.5,0.875,0.375,0.5,0.5,0.5
15,0.5,0.875,0.5,0.5,0.625,0.5,0.625,0.125,0.5,0.5
16,0.75,0.5,0.375,0.625,0.5,0.625,0.625,0.5,0.6666666666666666,0.3333333333333333
17,0.625,0.75,0.5,0.375,0.25,0.5,0.5,0.5,0.5,1.0
18,0.625,0.625,0.625,0.375,0.625,0.625,0.625,0.875,0.6666666666666666,0.6666666666666666
19,0.75,0.75,0.75,0.75,0.625,0.625,0.625,0.75,0.6666666666666666,0.8333333333333334
20,0.75,0.625,0.75,0.625,0.75,0.625,0.875,0.75,0.5,1.0
21,0.625,0.375,0.875,0.875,0.625,0.75,0.75,0.5,0.8333333333333334,0.8333333333333334
22,0.375,0.75,0.625,0.375,0.375,0.625,0.625,0.75,0.3333333333333333,0.5
23,0.625,0.875,0.5,0.625,0.875,0.875,0.5,0.625,0.8333333333333334,0.6666666666666666
24,0.625,0.625,0.875,0.625,0.75,0.625,0.5,1.0,0.6666666666666666,0.6666666666666666
25,0.5,0.625,0.625,0.75,0.875,0.875,0.75,1.0,0.6666666666666666,0.5
26,0.75,0.75,0.625,0.75,0.5,0.625,0.75,0.625,0.6666666666666666,0.8333333333333334
27,0.5,0.5,0.5,0.625,0.75,0.5,0.625,0.75,0.6666666666666666,0.5
28,0.75,0.75,0.625,0.875,0.5,0.75,0.875,0.75,0.6666666666666666,0.8333333333333334
29,0.625,0.625,0.5,0.875,0.75,0.75,0.75,0.5,0.8333333333333334,0.8333333333333334
30,0.625,0.5,0.75,0.875,0.625,0.375,0.75,0.625,0.5,0.6666666666666666
31,0.625,0.75,0.5,1.0,0.625,0.875,0.75,0.625,0.6666666666666666,0.6666666666666666
32,0.5,0.625,0.75,0.625,0.625,0.5,0.625,0.625,0.6666666666666666,0.6666666666666666
33,0.875,0.625,0.625,0.75,0.5,0.625,0.5,0.625,0.8333333333333334,0.8333333333333334
34,0.875,0.875,0.75,0.5,0.875,0.625,0.875,1.0,0.5,0.8333333333333334
35,1.0,0.5,0.375,0.375,0.875,0.75,0.5,0.75,0.8333333333333334,0.8333333333333334
36,1.0,0.625,0.625,0.5,0.75,0.75,0.75,0.5,1.0,0.5
37,0.75,0.875,0.625,0.875,0.625,0.625,0.5,0.625,0.3333333333333333,0.5
38,0.875,0.625,0.875,0.75,0.375,0.5,1.0,0.75,0.5,0.6666666666666666
39,0.625,0.5,0.875,0.75,0.75,0.625,0.375,0.75,0.6666666666666666,0.6666666666666666
40,0.75,0.625,0.75,0.75,0.5,0.625,0.75,0.75,0.8333333333333334,0.8333333333333334
41,0.75,0.5,0.75,0.5,0.75,0.625,0.75,0.625,0.8333333333333334,0.5
42,0.625,0.875,0.75,0.875,0.75,0.75,0.625,0.75,0.6666666666666666,0.8333333333333334
43,0.5,0.75,0.625,0.5,0.75,0.625,0.625,0.625,0.8333333333333334,0.6666666666666666
44,0.625,0.875,0.875,0.375,0.875,0.75,0.625,0.875,0.8333333333333334,0.8333333333333334
45,0.75,0.75,0.875,0.75,0.75,0.75,0.625,0.375,0.6666666666666666,0.8333333333333334
46,0.625,0.5,0.625,0.375,0.75,0.75,0.625,0.625,0.8333333333333334,0.5
47,0.875,0.25,0.625,0.625,0.625,0.875,0.75,0.375,0.8333333333333334,0.6666666666666666
48,0.5,1.0,0.875,0.75,0.625,0.375,0.75,0.5,0.5,0.3333333333333333
