,Dataset,Model,VoiceType,TrialType,Layer,Iteration,Accuracy,Plot
0,EventsRev,roberta-large,normal,normal,0,0,0.5,RoBERTa EventsRev
1,EventsRev,roberta-large,normal,normal,0,1,0.375,RoBERTa EventsRev
2,EventsRev,roberta-large,normal,normal,0,2,0.375,RoBERTa EventsRev
3,EventsRev,roberta-large,normal,normal,0,3,0.375,RoBERTa EventsRev
4,EventsRev,roberta-large,normal,normal,0,4,0.375,RoBERTa EventsRev
5,EventsRev,roberta-large,normal,normal,0,5,0.375,RoBERTa EventsRev
6,EventsRev,roberta-large,normal,normal,0,6,0.375,RoBERTa EventsRev
7,EventsRev,roberta-large,normal,normal,0,7,0.25,RoBERTa EventsRev
8,EventsRev,roberta-large,normal,normal,0,8,0.5,RoBERTa EventsRev
9,EventsRev,roberta-large,normal,normal,0,9,0.3333333333333333,RoBERTa EventsRev
10,EventsRev,roberta-large,normal,normal,1,0,0.375,RoBERTa EventsRev
11,EventsRev,roberta-large,normal,normal,1,1,0.375,RoBERTa EventsRev
12,EventsRev,roberta-large,normal,normal,1,2,0.375,RoBERTa EventsRev
13,EventsRev,roberta-large,normal,normal,1,3,0.375,RoBERTa EventsRev
14,EventsRev,roberta-large,normal,normal,1,4,0.25,RoBERTa EventsRev
15,EventsRev,roberta-large,normal,normal,1,5,0.25,RoBERTa EventsRev
16,EventsRev,roberta-large,normal,normal,1,6,0.375,RoBERTa EventsRev
17,EventsRev,roberta-large,normal,normal,1,7,0.25,RoBERTa EventsRev
18,EventsRev,roberta-large,normal,normal,1,8,0.375,RoBERTa EventsRev
19,EventsRev,roberta-large,normal,normal,1,9,0.16666666666666666,RoBERTa EventsRev
20,EventsRev,roberta-large,normal,normal,2,0,0.375,RoBERTa EventsRev
21,EventsRev,roberta-large,normal,normal,2,1,0.125,RoBERTa EventsRev
22,EventsRev,roberta-large,normal,normal,2,2,0.375,RoBERTa EventsRev
23,EventsRev,roberta-large,normal,normal,2,3,0.125,RoBERTa EventsRev
24,EventsRev,roberta-large,normal,normal,2,4,0.25,RoBERTa EventsRev
25,EventsRev,roberta-large,normal,normal,2,5,0.375,RoBERTa EventsRev
26,EventsRev,roberta-large,normal,normal,2,6,0.375,RoBERTa EventsRev
27,EventsRev,roberta-large,normal,normal,2,7,0.375,RoBERTa EventsRev
28,EventsRev,roberta-large,normal,normal,2,8,0.375,RoBERTa EventsRev
29,EventsRev,roberta-large,normal,normal,2,9,0.16666666666666666,RoBERTa EventsRev
30,EventsRev,roberta-large,normal,normal,3,0,0.5,RoBERTa EventsRev
31,EventsRev,roberta-large,normal,normal,3,1,0.125,RoBERTa EventsRev
32,EventsRev,roberta-large,normal,normal,3,2,0.375,RoBERTa EventsRev
33,EventsRev,roberta-large,normal,normal,3,3,0.125,RoBERTa EventsRev
34,EventsRev,roberta-large,normal,normal,3,4,0.375,RoBERTa EventsRev
35,EventsRev,roberta-large,normal,normal,3,5,0.125,RoBERTa EventsRev
36,EventsRev,roberta-large,normal,normal,3,6,0.25,RoBERTa EventsRev
37,EventsRev,roberta-large,normal,normal,3,7,0.375,RoBERTa EventsRev
38,EventsRev,roberta-large,normal,normal,3,8,0.375,RoBERTa EventsRev
39,EventsRev,roberta-large,normal,normal,3,9,0.3333333333333333,RoBERTa EventsRev
40,EventsRev,roberta-large,normal,normal,4,0,0.125,RoBERTa EventsRev
41,EventsRev,roberta-large,normal,normal,4,1,0.25,RoBERTa EventsRev
42,EventsRev,roberta-large,normal,normal,4,2,0.375,RoBERTa EventsRev
43,EventsRev,roberta-large,normal,normal,4,3,0.25,RoBERTa EventsRev
44,EventsRev,roberta-large,normal,normal,4,4,0.25,RoBERTa EventsRev
45,EventsRev,roberta-large,normal,normal,4,5,0.375,RoBERTa EventsRev
46,EventsRev,roberta-large,normal,normal,4,6,0.125,RoBERTa EventsRev
47,EventsRev,roberta-large,normal,normal,4,7,0.125,RoBERTa EventsRev
48,EventsRev,roberta-large,normal,normal,4,8,0.125,RoBERTa EventsRev
49,EventsRev,roberta-large,normal,normal,4,9,0.16666666666666666,RoBERTa EventsRev
50,EventsRev,roberta-large,normal,normal,5,0,0.25,RoBERTa EventsRev
51,EventsRev,roberta-large,normal,normal,5,1,0.375,RoBERTa EventsRev
52,EventsRev,roberta-large,normal,normal,5,2,0.375,RoBERTa EventsRev
53,EventsRev,roberta-large,normal,normal,5,3,0.5,RoBERTa EventsRev
54,EventsRev,roberta-large,normal,normal,5,4,0.25,RoBERTa EventsRev
55,EventsRev,roberta-large,normal,normal,5,5,0.5,RoBERTa EventsRev
56,EventsRev,roberta-large,normal,normal,5,6,0.5,RoBERTa EventsRev
57,EventsRev,roberta-large,normal,normal,5,7,0.375,RoBERTa EventsRev
58,EventsRev,roberta-large,normal,normal,5,8,0.5,RoBERTa EventsRev
59,EventsRev,roberta-large,normal,normal,5,9,0.16666666666666666,RoBERTa EventsRev
60,EventsRev,roberta-large,normal,normal,6,0,0.75,RoBERTa EventsRev
61,EventsRev,roberta-large,normal,normal,6,1,0.375,RoBERTa EventsRev
62,EventsRev,roberta-large,normal,normal,6,2,0.5,RoBERTa EventsRev
63,EventsRev,roberta-large,normal,normal,6,3,0.625,RoBERTa EventsRev
64,EventsRev,roberta-large,normal,normal,6,4,0.5,RoBERTa EventsRev
65,EventsRev,roberta-large,normal,normal,6,5,0.375,RoBERTa EventsRev
66,EventsRev,roberta-large,normal,normal,6,6,0.625,RoBERTa EventsRev
67,EventsRev,roberta-large,normal,normal,6,7,0.375,RoBERTa EventsRev
68,EventsRev,roberta-large,normal,normal,6,8,0.625,RoBERTa EventsRev
69,EventsRev,roberta-large,normal,normal,6,9,0.5,RoBERTa EventsRev
70,EventsRev,roberta-large,normal,normal,7,0,0.5,RoBERTa EventsRev
71,EventsRev,roberta-large,normal,normal,7,1,0.5,RoBERTa EventsRev
72,EventsRev,roberta-large,normal,normal,7,2,0.5,RoBERTa EventsRev
73,EventsRev,roberta-large,normal,normal,7,3,0.375,RoBERTa EventsRev
74,EventsRev,roberta-large,normal,normal,7,4,0.375,RoBERTa EventsRev
75,EventsRev,roberta-large,normal,normal,7,5,0.625,RoBERTa EventsRev
