"Category","Metric","Difference","ChiSquared","pValAdjusted"
"human","human",NA,0,"1 "
"LLMs","MPT-30b",NA,0.34,"0.731 "
"LLMs","GPT-J",NA,1.14,"0.715 "
"LLMs","GPT-2",NA,0.12,"0.731 "
"LLMs","RoBERTa",NA,4.79,"0.143 "
"LLMs","BERT",NA,0.17,"0.731 "
"baselines","tinyLSTM",NA,1.63,"0.269 "
"baselines","SDM",NA,19.43,"<0.001 ***"
"baselines","thematicFit",NA,0.57,"0.449 "
"baselines","syntax-PPMI",NA,20.52,"<0.001 ***"
