"Model","VoiceType","term","estimate","std.error","statistic","p.value","pValAdjusted","pLabel","pValFinal"
"MPT","all","(Intercept)",0.915153846153845,0.0138257830846414,66.1918272947922,2.63591573279186e-241,3.29489466598983e-240,"***","<0.001"
"MPT","all","LayerGroupearly",-0.320024886877827,0.0142266134250194,-22.4948044427087,9.7632166500299e-77,2.71200462500831e-76,"***","<0.001"
"MPT","all","LayerGroupmid",-0.062495192307692,0.0142512910037137,-4.3852302427483,1.42919170834806e-05,1.70141870041436e-05,"***","<0.001"
"MPT","all","LayerGrouplate",-0.0183537781616375,0.0143252443636829,-1.28121920266628,0.200744453942868,0.209108806190487,"","0.209"
"MPT","all","LayerGroupearly:cLayerWithinGroup",0.00716685520361993,0.00068447825754931,10.4705374123642,3.25103505221116e-23,5.80541973609135e-23,"***","<0.001"
"MPT","all","LayerGroupmid:cLayerWithinGroup",0.01109592760181,0.000749808363563175,14.7983513401756,5.40801881180682e-41,4.50668234317235e-40,"***","<0.001"
"MPT","all","LayerGrouplate:cLayerWithinGroup",-0.000567793744716822,0.000916640492768386,-0.619429044643231,0.535931996522462,0.705173679634818,"","0.705"
"MPT","TrainOn:active-TestOn:active","(Intercept)",0.919000000000002,0.0179683771112463,51.1454091991871,2.84084877079914e-199,8.8776524087473e-199,"***","<0.001"
"MPT","TrainOn:active-TestOn:active","LayerGroupearly",-0.231239819004527,0.0184893075113147,-12.5066781902469,2.29815142981947e-31,2.73589455930889e-31,"***","<0.001"
"MPT","TrainOn:active-TestOn:active","LayerGroupmid",-0.0530192307692319,0.0185213791876498,-2.86259625873787,0.00438067795810298,0.00476160647619889,"**","0.005"
"MPT","TrainOn:active-TestOn:active","LayerGrouplate",-0.0314615384615393,0.0185213791876497,-1.69866067439072,0.0900140632297138,0.102288708215584,"","0.102"
"MPT","TrainOn:active-TestOn:active","LayerGroupearly:cLayerWithinGroup",0.00735237556561085,0.000889567222398937,8.26511519363692,1.3013887392875e-15,1.80748436012153e-15,"***","<0.001"
"MPT","TrainOn:active-TestOn:active","LayerGroupmid:cLayerWithinGroup",0.00624366515837105,0.000974472068250225,6.4072284489203,3.4654458847311e-10,7.21967892652312e-10,"***","<0.001"
"MPT","TrainOn:active-TestOn:active","LayerGrouplate:cLayerWithinGroup",-0.00107466063348416,0.000974472068250225,-1.10281317289457,0.270646349394027,0.705173679634818,"","0.705"
"MPT","TrainOn:active-TestOn:passive","(Intercept)",0.905538461538464,0.0222120514437338,40.7678896220962,5.03990064721701e-160,1.14543196527659e-159,"***","<0.001"
"MPT","TrainOn:active-TestOn:passive","LayerGroupearly",-0.554638009049776,0.0228560123742778,-24.2666130892529,3.54322880638268e-86,1.77161440319134e-85,"***","<0.001"
"MPT","TrainOn:active-TestOn:passive","LayerGroupmid",-0.2219375,0.0228956585660419,-9.69343158921713,1.87468366978733e-20,3.60516090343718e-20,"***","<0.001"
"MPT","TrainOn:active-TestOn:passive","LayerGrouplate",-0.113485576923076,0.0228956585660418,-4.95664174043001,9.87918807998807e-07,1.45282177646883e-06,"***","<0.001"
"MPT","TrainOn:active-TestOn:passive","LayerGroupearly:cLayerWithinGroup",-0.0067543363499246,0.00109966040807422,-6.14220199284354,1.67765971576802e-09,1.90643149519094e-09,"***","<0.001"
"MPT","TrainOn:active-TestOn:passive","LayerGroupmid:cLayerWithinGroup",0.0259442307692308,0.00120461762219517,21.5373163161541,5.24425387007246e-73,1.31106346751812e-71,"***","<0.001"
"MPT","TrainOn:active-TestOn:passive","LayerGrouplate:cLayerWithinGroup",0.00112115384615385,0.00120461762219517,0.930713469151126,0.352457318472088,0.705173679634818,"","0.705"
"MPT","TrainOn:passive-TestOn:active","(Intercept)",0.919000000000002,0.0227043796570139,40.4767720538051,7.66588079632121e-159,1.36890728505736e-158,"***","<0.001"
"MPT","TrainOn:passive-TestOn:active","LayerGroupearly",-0.524683257918555,0.0233626139262974,-22.4582428821443,1.8659345640212e-77,5.83104551256624e-77,"***","<0.001"
"MPT","TrainOn:passive-TestOn:active","LayerGroupmid",-0.223350961538462,0.0234031388724982,-9.54363270479622,6.38790312444655e-20,1.14069698650831e-19,"***","<0.001"
"MPT","TrainOn:passive-TestOn:active","LayerGrouplate",-0.133725961538461,0.0234031388724981,-5.71401820358411,1.91149088199032e-08,3.67594400382753e-08,"***","<0.001"
"MPT","TrainOn:passive-TestOn:active","LayerGroupearly:cLayerWithinGroup",-0.00614272247360483,0.00112403428661009,-5.46488887997388,7.36550006240543e-08,7.67239589833899e-08,"***","<0.001"
"MPT","TrainOn:passive-TestOn:active","LayerGroupmid:cLayerWithinGroup",0.0254261312217195,0.00123131786837114,20.6495267183563,1.00854022932268e-68,1.26067528665335e-67,"***","<0.001"
"MPT","TrainOn:passive-TestOn:active","LayerGrouplate:cLayerWithinGroup",-0.00262567873303168,0.00123131786837114,-2.13241340881788,0.0334663923655355,0.167331961827678,"","0.167"
"MPT","TrainOn:passive-TestOn:passive","(Intercept)",0.903615384615388,0.0167925432499831,53.8105140575594,1.68636337235154e-208,8.43181686175768e-208,"***","<0.001"
"MPT","TrainOn:passive-TestOn:passive","LayerGroupearly",-0.207533936651586,0.0172793844498989,-12.0104936176011,2.50612494159933e-29,2.84786925181742e-29,"***","<0.001"
"MPT","TrainOn:passive-TestOn:passive","LayerGroupmid",-0.0333942307692319,0.0173093573856082,-1.92925884105885,0.0542723255902279,0.0542723255902279,"","0.054"
"MPT","TrainOn:passive-TestOn:passive","LayerGrouplate",-0.00334134615384721,0.0173093573856081,-0.193036984528691,0.847009501590203,0.847009501590203,"","0.847"
"MPT","TrainOn:passive-TestOn:passive","LayerGroupearly:cLayerWithinGroup",0.00906202865761683,0.000831354771965006,10.9003147190671,6.19699180179616e-25,1.19172919265311e-24,"***","<0.001"
"MPT","TrainOn:passive-TestOn:passive","LayerGroupmid:cLayerWithinGroup",0.00799434389140272,0.000910703523789595,8.77820682864702,2.73735575496615e-17,9.77627055345055e-17,"***","<0.001"
"MPT","TrainOn:passive-TestOn:passive","LayerGrouplate:cLayerWithinGroup",-0.000797398190045248,0.000910703523789595,-0.875584829986313,0.381682164688263,0.705173679634818,"","0.705"
"GPT-J","all","(Intercept)",0.915153846153846,0.011445944054966,79.954422436373,4.89547944465303e-201,1.74838551594751e-200,"***","<0.001"
"GPT-J","all","LayerGroupearly",-0.281088461538463,0.012004607400509,-23.4150482527688,4.50620303346261e-69,1.02413705305969e-68,"***","<0.001"
"GPT-J","all","LayerGroupmid",-0.0797777777777778,0.0120650843948521,-6.61228510028636,1.78990643713635e-10,2.63221534872992e-10,"***","<0.001"
"GPT-J","all","LayerGrouplate",-0.0620961538461538,0.0120046074005089,-5.17269343131716,4.28541121218106e-07,7.14235202030177e-07,"***","<0.001"
"GPT-J","all","LayerGroupearly:cLayerWithinGroup",0.0313498834498835,0.00126015696621811,24.877760699898,3.27518668289514e-74,8.18796670723784e-73,"***","<0.001"
"GPT-J","all","LayerGroupmid:cLayerWithinGroup",0.00531666666666667,0.00147766502355017,3.59801888921555,0.000376293660186993,0.000522630083593046,"***","<0.001"
"GPT-J","all","LayerGrouplate:cLayerWithinGroup",0.000679487179487182,0.00126015696621811,0.539208366658012,0.590152571577909,0.723998334517075,"","0.724"
"GPT-J","TrainOn:active-TestOn:active","(Intercept)",0.919000000000001,0.0162261287618635,56.6370459329732,7.30124339608858e-160,1.52109237418512e-159,"***","<0.001"
