"Metric","Parameter","Estimate","Std..Error","df","t.value","pVal","pValAdjusted","pLabel","pValFinal"
"bert-large-cased","(Intercept)",0.601392839975672,0.00826511701526868,381.719467760772,72.762773819739,7.57295197044197e-226,9.46618996305246e-226,"***","<0.001"
"bert-large-cased","PlausibilityImplausible",0.00296537035049088,0.00657054397104043,381.000151840859,0.451312762468482,0.652020918896464,0.758384282987808,"","0.758"
"bert-large-cased","TrialTypeAAN",-0.0131552343858724,0.0118042456397193,378.619598466147,-1.11444939281908,0.265793366379016,0.2845117229728,"","0.285"
"bert-large-cased","TrialTypeAI",-0.034525408905056,0.0123829979095923,394.809867157258,-2.78813007618385,0.00555768238477019,0.00694710298096273,"**","0.007"
"bert-large-cased","VoiceA>P",-0.214188676187707,0.0110429259334509,1112.73849821667,-19.396007677539,2.01273796881091e-72,1.00636898440546e-71,"***","<0.001"
"bert-large-cased","agent_freq_norm",0.00344629672338793,0.00515712435990794,683.761680513025,0.668259379234643,0.504193551047215,0.576674756473692,"","0.577"
"bert-large-cased","patient_freq_norm",0.00443678045733411,0.00515735916794936,684.025700790671,0.860281456623515,0.389935330323755,0.563289477626751,"","0.563"
"bert-large-cased","verb_freq_norm",-0.0144392331319646,0.00475733390121774,408.232981659156,-3.03515234200158,0.00255802815941386,0.00639507039853465,"**","0.006"
"bert-large-cased","sentence_freq_norm",-0.0107524085741091,0.00738564294504773,831.883484247391,-1.45585274756869,0.145810607980942,0.243017679968237,"","0.243"
"bert-large-cased","PlausibilityImplausible:TrialTypeAAN",-0.0240297764503571,0.00945524154677876,381.000126209162,-2.54142385802335,0.0114357666457905,0.0190596110763175,"*","0.019"
"bert-large-cased","PlausibilityImplausible:TrialTypeAI",-0.152523023679262,0.00983693842235492,381.000589003401,-15.5051314881311,2.20488965339787e-42,3.67481608899645e-42,"***","<0.001"
"bert-large-cased","PlausibilityImplausible:VoiceA>P",-0.00499243804133618,0.0119821011188211,761.738853911469,-0.416657979416832,0.677045974451556,0.990638697344825,"","0.991"
