"Metric","Parameter","Estimate","Std..Error","df","t.value","pVal","Category","pValAdjusted","pLabel","pValFinal"
"human","(Intercept)",0.856836970345912,0.00936793382584516,383.826658819641,91.4648828946665,1.06828343590631e-262,"human",1.06828343590631e-262,"***","<0.001"
"human","PlausibilityImplausible",-0.386849544384859,0.0158287639020677,390.133327271753,-24.4396559818752,1.11022609328827e-80,"human",1.11022609328827e-80,"***","<0.001"
"human","TrialTypeAAR",-0.0707352659706873,0.013146768509414,385.547474402162,-5.38042986913747,1.29227017263356e-07,"human",1.29227017263356e-07,"***","<0.001"
"human","TrialTypeAI",0.0185354589229783,0.0138378747644693,406.08396956397,1.33947294931232,0.181165918517492,"human",0.181165918517492,"","0.181"
"human","VoiceA>P",-0.00988071708489997,0.00989739068021378,1113.02551759783,-0.998315354435069,0.31834344823063,"human",0.31834344823063,"","0.318"
"human","agent_freq_norm",0.0034414656522627,0.00589916164324595,893.183349448752,0.583382158412779,0.559783338220139,"human",0.559783338220139,"","0.56"
"human","patient_freq_norm",0.00220976783681954,0.00595131432634661,928.38721973155,0.371307532360851,0.710493205943744,"human",0.710493205943744,"","0.71"
"human","verb_freq_norm",0.00656824514561496,0.00469416490990687,419.768836431355,1.39923613074456,0.162480675634898,"human",0.162480675634898,"","0.162"
"human","sentence_freq_norm",-0.00294458524963221,0.00702843356887965,929.068135830668,-0.418953273268483,0.675347120354781,"human",0.675347120354781,"","0.675"
"human","PlausibilityImplausible:TrialTypeAAR",0.382013164237519,0.0221872723991539,390.216205788575,17.2176713462123,7.93921107278526e-50,"human",7.93921107278526e-50,"***","<0.001"
"human","PlausibilityImplausible:TrialTypeAI",-0.369792653702052,0.0232190375767546,395.051403262621,-15.926269660387,1.82295080004385e-44,"human",1.82295080004385e-44,"***","<0.001"
"human","PlausibilityImplausible:VoiceA>P",0.0189042405279048,0.0109241583787227,781.74707696138,1.73049857687208,0.0839358606256107,"human",0.0839358606256107,"","0.084"
"human","TrialTypeAAR:VoiceA>P",0.0144664423664016,0.0108336518030136,783.715670809359,1.33532465593711,0.182157816078142,"human",0.182157816078142,"","0.182"
"human","TrialTypeAI:VoiceA>P",0.0281174109292086,0.0109918333210814,789.321395363686,2.55802741070334,0.0107124440237159,"human",0.0107124440237159,"*","0.011"
"human","PlausibilityImplausible:TrialTypeAAR:VoiceA>P",-0.0246614767874024,0.0153042997427508,781.747077015575,-1.6114083755504,0.107494383315111,"human",0.107494383315111,"","0.107"
"human","PlausibilityImplausible:TrialTypeAI:VoiceA>P",-0.0740439525448104,0.0154792375369493,781.747076936512,-4.78343667561569,2.05983018856155e-06,"human",2.05983018856155e-06,"***","<0.001"
"GPT2-xl","(Intercept)",0.582561669174035,0.00959501057147446,391.10162846641,60.7150627750182,3.45000263642222e-201,"baselines",1.03500079092667e-200,"***","<0.001"
"GPT2-xl","PlausibilityImplausible",-0.0548623449328354,0.00551079656831637,867.57318109441,-9.9554291748419,3.50283911889647e-22,"baselines",1.05085173566894e-21,"***","<0.001"
