"Metric","Parameter","Estimate","Std..Error","df","t.value","pVal","Category","pValAdjusted","pLabel","pValFinal"
"GPT2-xl","TrialTypeAAR",-0.04623597051846,0.0134600752779653,392.664917318978,-3.43504546324123,0.000655640985050019,"baselines",0.000655640985050019,"***","<0.001"
"GPT2-xl","TrialTypeAI",0.0430902757923654,0.013894994184847,403.826416002876,3.10113665534001,0.00206304148261948,"baselines",0.00618912444785845,"**","0.006"
"GPT2-xl","VoiceA>P",0.0262666850774064,0.00977851658991654,1495.62216354449,2.68616255194497,0.00730778728382738,"baselines",0.00730778728382738,"**","0.007"
"GPT2-xl","agent_freq_norm",0.0281446051336224,0.00518801764070299,701.321162417692,5.42492471745119,7.98958097750468e-08,"baselines",2.39687429325141e-07,"***","<0.001"
"GPT2-xl","patient_freq_norm",0.0312350223694417,0.00516946949321841,689.518223404709,6.04221040677723,2.48723147353787e-09,"baselines",7.46169442061362e-09,"***","<0.001"
"GPT2-xl","verb_freq_norm",0.00864544257994605,0.00498564886780486,421.319434131532,1.73406567714276,0.0836378972105046,"baselines",0.0836378972105046,"","0.084"
"GPT2-xl","sentence_freq_norm",0.011947321382894,0.00716978148481931,1069.50158065625,1.66634386392252,0.0959377595602722,"baselines",0.0959377595602722,"","0.096"
"GPT2-xl","PlausibilityImplausible:TrialTypeAAR",0.0606222199890223,0.00772462749553875,868.119032304988,7.8479149996597,1.24232389054099e-14,"baselines",3.72697167162296e-14,"***","<0.001"
"GPT2-xl","PlausibilityImplausible:TrialTypeAI",-0.112383256513108,0.00809103156299576,901.791595251508,-13.8898551610021,6.83985253403811e-40,"baselines",2.05195576021143e-39,"***","<0.001"
"GPT2-xl","PlausibilityImplausible:VoiceA>P",-0.00791713411485357,0.0105616378506443,1171.81625815164,-0.749612344866625,0.453638674149987,"baselines",0.923605462118639,"","0.924"
"GPT2-xl","TrialTypeAAR:VoiceA>P",0.0113747651099041,0.0104754349243302,1174.55661748729,1.08585134575035,0.277767567468854,"baselines",0.833302702406563,"","0.833"
"GPT2-xl","TrialTypeAI:VoiceA>P",0.0321975453908063,0.0106321328315319,1182.32301743197,3.02832422252264,0.00251245125386358,"baselines",0.00251245125386358,"**","0.003"
"GPT2-xl","PlausibilityImplausible:TrialTypeAAR:VoiceA>P",0.00489003785742153,0.0147964232883578,1171.81625814376,0.330487832236397,0.741090463235952,"baselines",0.82840234190181,"","0.828"
"GPT2-xl","PlausibilityImplausible:TrialTypeAI:VoiceA>P",-0.0183948740760715,0.0149655557345071,1171.81625815171,-1.22914741038698,0.219263300011731,"baselines",0.395647200142765,"","0.396"
"BERT-large","(Intercept)",0.754758330097079,0.0152626632005841,390.597731969945,49.4512864614738,3.08489969052758e-170,"baselines",4.62734953579136e-170,"***","<0.001"
"BERT-large","PlausibilityImplausible",-0.0676293133493983,0.0087248865977629,390.962718611533,-7.75131144589762,7.94221862159599e-14,"baselines",7.94221862159599e-14,"***","<0.001"
"BERT-large","TrialTypeAAR",-0.0901265007835808,0.0214080469486821,392.403713307863,-4.20993568444734,3.170161964468e-05,"baselines",9.510485893404e-05,"***","<0.001"
"BERT-large","TrialTypeAI",0.00956390679966511,0.022247477159391,396.060105760958,0.429887251086716,0.667511452005311,"baselines",0.667511452005311,"","0.668"
"BERT-large","VoiceA>P",-0.150579802926908,0.0147511415067222,1072.47819554683,-10.2080101976032,2.06225720199262e-23,"baselines",6.18677160597787e-23,"***","<0.001"
"BERT-large","agent_freq_norm",0.0240932466211127,0.00896924552400707,722.096305024735,2.68620661087098,0.00739294823057026,"baselines",0.0110894223458554,"*","0.011"
"BERT-large","patient_freq_norm",0.0219469966733706,0.00898482209798679,728.488944988005,2.44267459433484,0.0148154484977064,"baselines",0.0148154484977064,"*","0.015"
"BERT-large","verb_freq_norm",-0.041316065839754,0.0091497566100421,420.972665878612,-4.51553714493438,8.21090777972094e-06,"baselines",2.46327233391628e-05,"***","<0.001"
"BERT-large","sentence_freq_norm",-0.0392777866122801,0.0115555646116166,1151.62573251588,-3.39903656224595,0.000699379685513233,"baselines",0.0020981390565397,"**","0.002"
"BERT-large","PlausibilityImplausible:TrialTypeAAR",0.0677628389064093,0.012230268676015,390.983091289662,5.54058465120231,5.54855705734791e-08,"baselines",5.54855705734791e-08,"***","<0.001"
"BERT-large","PlausibilityImplausible:TrialTypeAI",-0.117337714086996,0.0128340965660716,392.145174365543,-9.14265476209613,3.34012569304777e-18,"baselines",3.34012569304777e-18,"***","<0.001"
"BERT-large","PlausibilityImplausible:VoiceA>P",-0.00476403661153383,0.0151059242881717,781.836253338439,-0.315375379927212,0.752560816452081,"baselines",0.923605462118639,"","0.924"
"BERT-large","TrialTypeAAR:VoiceA>P",0.000830948205601453,0.0149875607725348,783.762033480126,0.0554425245183455,0.955800048009404,"baselines",0.963835304660808,"","0.964"
"BERT-large","TrialTypeAI:VoiceA>P",0.0683938393113355,0.0152259446579735,789.226555965503,4.49192748612277,8.11234332622655e-06,"baselines",2.43370299786796e-05,"***","<0.001"
"BERT-large","PlausibilityImplausible:TrialTypeAAR:VoiceA>P",-0.0045885919269783,0.0211627829973396,781.836253216305,-0.216823653465385,0.82840234190181,"baselines",0.82840234190181,"","0.828"
"BERT-large","PlausibilityImplausible:TrialTypeAI:VoiceA>P",0.023937742984726,0.0214046869484439,781.836253522388,1.11834118585258,0.263764800095177,"baselines",0.395647200142765,"","0.396"
"RoBERTa-large","(Intercept)",0.741723125025431,0.0149846613739369,388.320187193222,49.4988245991013,8.04470174513701e-170,"baselines",8.04470174513701e-170,"***","<0.001"
"RoBERTa-large","PlausibilityImplausible",-0.0735398831516055,0.00912258410556179,390.991765676886,-8.06129955072382,9.29089508374032e-15,"baselines",1.39363426256105e-14,"***","<0.001"
"RoBERTa-large","TrialTypeAAR",-0.0799774902371316,0.0210196484466859,390.102403093484,-3.80489190577978,0.000164643055318535,"baselines",0.000246964582977803,"***","<0.001"
"RoBERTa-large","TrialTypeAI",0.0227351704447663,0.0218329940835111,395.843604392217,1.04132169677711,0.298361845351131,"baselines",0.447542768026697,"","0.448"
"RoBERTa-large","VoiceA>P",-0.107364016916532,0.014804752630181,1081.66439123599,-7.25199667961078,7.81018650622725e-13,"baselines",1.17152797593409e-12,"***","<0.001"
"RoBERTa-large","agent_freq_norm",0.0158457851209941,0.00879112068473169,733.141205246959,1.80247612213024,0.0718811125508876,"baselines",0.0718811125508876,"","0.072"
"RoBERTa-large","patient_freq_norm",0.0241179254620099,0.00879912423265886,736.620040597771,2.74094612421697,0.00627472234626962,"baselines",0.00941208351940443,"**","0.009"
"RoBERTa-large","verb_freq_norm",-0.0329928643223773,0.00883167192744259,421.631922751616,-3.73574387652001,0.000212911289257475,"baselines",0.000319366933886213,"***","<0.001"
"RoBERTa-large","sentence_freq_norm",-0.0198495102046283,0.0114707934434022,1132.92966908814,-1.7304391629548,0.0838241472424104,"baselines",0.0959377595602722,"","0.096"
"RoBERTa-large","PlausibilityImplausible:TrialTypeAAR",0.0764320844169068,0.0127878788385662,390.99653557751,5.97691653023798,5.12526558703059e-09,"baselines",7.68789838054588e-09,"***","<0.001"
"RoBERTa-large","PlausibilityImplausible:TrialTypeAI",-0.159324813327575,0.0134276464708211,391.269004141369,-11.8654310473392,5.98695191321004e-28,"baselines",8.98042786981506e-28,"***","<0.001"
"RoBERTa-large","PlausibilityImplausible:VoiceA>P",0.00146855943146193,0.0153096046809633,781.992539727929,0.0959240595733996,0.923605462118639,"baselines",0.923605462118639,"","0.924"
"RoBERTa-large","TrialTypeAAR:VoiceA>P",-0.000688894332874818,0.0151886892720772,783.953766001549,-0.0453557460116901,0.963835304660808,"baselines",0.963835304660808,"","0.964"
"RoBERTa-large","TrialTypeAI:VoiceA>P",0.0527427007318422,0.0154275225065602,789.521768827805,3.41874080620622,0.00066136983645559,"baselines",0.000992054754683385,"***","<0.001"
"RoBERTa-large","PlausibilityImplausible:TrialTypeAAR:VoiceA>P",-0.012301301762317,0.0214481309092737,781.992539869093,-0.573537238016306,0.566445894606473,"baselines",0.82840234190181,"","0.828"
"RoBERTa-large","PlausibilityImplausible:TrialTypeAI:VoiceA>P",0.0144133907048342,0.0216932965669004,781.992539971992,0.664416800848335,0.506619447588395,"baselines",0.506619447588395,"","0.507"
