"Model","TrialType","term","estimate","std.error","statistic","p.value","pValAdjusted","pLabel","pValFinal"
"GPT-J","TrainOn:AI-TestOn:AI","LayerGroupearly:cLayerWithinGroup",0.0384052059052063,0.00208283286716341,18.4389283032152,6.20723814953604e-51,2.48289525981442e-50,"***","<0.001"
"GPT-J","TrainOn:AI-TestOn:AI","LayerGroupmid:cLayerWithinGroup",0.00078525641025641,0.00244233802630537,0.321518316383216,0.74804687484174,0.797916666497856,"","0.798"
"GPT-J","TrainOn:AI-TestOn:AI","LayerGrouplate:cLayerWithinGroup",0.000712898212898213,0.00208283286716341,0.342273364386218,0.732390567128107,0.868018449929608,"","0.868"
"GPT-J","TrainOn:normal-TestOn:AAR","(Intercept)",0.913602941176471,0.0210379536086787,43.4264167594507,1.10907821694693e-129,1.69002394963341e-129,"***","<0.001"
"GPT-J","TrainOn:normal-TestOn:AAR","LayerGroupearly",-0.564013388937667,0.0220647918921755,-25.5616908463875,1.40955290478682e-76,3.75880774609817e-76,"***","<0.001"
"GPT-J","TrainOn:normal-TestOn:AAR","LayerGroupmid",-0.594904765388743,0.0221759502374612,-26.8265737891037,6.87177429248301e-81,3.66494628932427e-80,"***","<0.001"
"GPT-J","TrainOn:normal-TestOn:AAR","LayerGrouplate",-0.602147717295873,0.0220647918921754,-27.2899794495414,1.89911062893204e-82,1.51928850314563e-81,"***","<0.001"
"GPT-J","TrainOn:normal-TestOn:AAR","LayerGroupearly:cLayerWithinGroup",0.0182926277702398,0.00231620246155646,7.89768082620352,5.75558754206201e-14,9.20894006729922e-14,"***","<0.001"
"GPT-J","TrainOn:normal-TestOn:AAR","LayerGroupmid:cLayerWithinGroup",-0.00520522388059702,0.00271598813215656,-1.91651201232015,0.0562726204013584,0.0857487548973081,"","0.086"
"GPT-J","TrainOn:normal-TestOn:AAR","LayerGrouplate:cLayerWithinGroup",0.000146992311171417,0.00231620246155646,0.0634626348996451,0.949441385070483,0.98006852652437,"","0.98"
"GPT-2","all","(Intercept)",0.918999999999999,0.0156115500995717,58.8666720561727,3.84882994745539e-225,1.75946511883675e-224,"***","<0.001"
"GPT-2","all","LayerGroupearly",-0.270502262443441,0.0160641525237477,-16.8388753806687,1.35791112003899e-50,3.10379684580341e-50,"***","<0.001"
"GPT-2","all","LayerGroupmid",-0.10891826923077,0.016092017510039,-6.7684657416524,3.70682625783586e-11,5.15732348916294e-11,"***","<0.001"
"GPT-2","all","LayerGrouplate",-0.0909999999999997,0.0160920175100389,-5.65497768960479,2.64333671006232e-08,4.0279416534283e-08,"***","<0.001"
"GPT-2","all","LayerGroupearly:cLayerWithinGroup",0.014732088989442,0.000772886898657405,19.0611187937503,4.28029669383489e-61,2.73938988405433e-60,"***","<0.001"
"GPT-2","all","LayerGroupmid:cLayerWithinGroup",0.00293902714932127,0.00084665517758974,3.47133901393965,0.000563380878275478,0.00106048165322443,"**","0.001"
"GPT-2","all","LayerGrouplate:cLayerWithinGroup",0.000891628959276019,0.00084665517758974,1.05311936060476,0.292802163732651,0.55115701408499,"","0.551"
"GPT-2","TrainOn:AAN-TestOn:AAN","(Intercept)",0.842307692307694,0.0218480131921536,38.5530567424866,6.48323731252262e-151,1.48188281429088e-150,"***","<0.001"
"GPT-2","TrainOn:AAN-TestOn:AAN","LayerGroupearly",-0.277752639517347,0.0224814201037753,-12.3547639888952,9.76699415815177e-31,1.30226588775357e-30,"***","<0.001"
"GPT-2","TrainOn:AAN-TestOn:AAN","LayerGroupmid",-0.122616185897437,0.0225204165252843,-5.44466776446039,8.19981662239695e-08,9.71830118210009e-08,"***","<0.001"
