"Category","Metric","Difference","ChiSquared","pValAdjusted"
"human","human",0.05,5.24,"0.022 *"
"baselines","tinyLSTM",0.3,24.37,"<0.001 ***"
"baselines","SDM",0.41,48.84,"<0.001 ***"
"baselines","thematicFit",0.11,3.33,"0.091 "
"baselines","syntax-PPMI",0.1,2.2,"0.138 "
