"Metric","Experiment","Parameter","Estimate","Std..Error","df","t.value","pVal","Category","pValAdjusted","pLabel","pValFinal"
"human","EventsAdapt","(Intercept)",0.856501810539005,0.00937225156748121,384.670453663051,91.3869846932833,5.84553844623816e-263,"human",5.84553844623816e-263,"***","<0.001"
"human","EventsAdapt","PlausibilityImplausible",-0.386853210411573,0.0158291143151243,390.101843654544,-24.43934655535,1.11927016385763e-80,"human",1.11927016385763e-80,"***","<0.001"
"human","EventsAdapt","TrialTypeAAR",-0.0703445516315951,0.0131475283880441,385.887635653339,-5.35040119750295,1.50793544619155e-07,"human",1.50793544619155e-07,"***","<0.001"
"human","EventsAdapt","TrialTypeAI",0.0190904045207285,0.0138489281872853,408.208883874366,1.37847523379141,0.168811594831271,"human",0.168811594831271,"","0.169"
"human","EventsAdapt","VoiceA>P",0.0118139688556891,0.0316141421250347,466.72017663354,0.373692533201267,0.708802770167984,"human",0.708802770167984,"","0.709"
"human","EventsAdapt","agent_freq_norm",0.0056738570542487,0.00665268683916147,1033.15209100771,0.852866998165188,0.39393073590905,"human",0.39393073590905,"","0.394"
"human","EventsAdapt","patient_freq_norm",0.00435348413438473,0.00665402681419045,1034.22052779291,0.654263088495593,0.513087780296402,"human",0.513087780296402,"","0.513"
"human","EventsAdapt","verb_freq_norm",0.00682844093651792,0.00470623716756173,428.152789625343,1.45093430131055,0.147530395755833,"human",0.147530395755833,"","0.148"
"human","EventsAdapt","sentence_freq_norm",-0.00534500967977549,0.00778316441087703,1071.41984060343,-0.68673991677547,0.492395238768199,"human",0.492395238768199,"","0.492"
"human","EventsAdapt","cNumTokens",0.0119040159856291,0.0164865685623587,475.462119911713,0.722043276659021,0.470622822371558,"human",0.470622822371558,"","0.471"
"human","EventsAdapt","PlausibilityImplausible:TrialTypeAAR",0.382002498240226,0.0221877577366053,390.185139764851,17.2168140095562,8.02305932747641e-50,"human",8.02305932747641e-50,"***","<0.001"
"human","EventsAdapt","PlausibilityImplausible:TrialTypeAI",-0.36987035290981,0.0232191678676097,395.044187092963,-15.9295266315626,1.76672232433659e-44,"human",1.76672232433659e-44,"***","<0.001"
"human","EventsAdapt","PlausibilityImplausible:VoiceA>P",0.0189042405279049,0.0109228199294917,781.893155239883,1.73071062692,0.0838979167094035,"human",0.0838979167094035,"","0.084"
"human","EventsAdapt","TrialTypeAAR:VoiceA>P",0.0142932301367166,0.010835013744182,783.900015515121,1.31917046661722,0.187497322261838,"human",0.187497322261838,"","0.187"
"human","EventsAdapt","TrialTypeAI:VoiceA>P",0.0284618326099999,0.0110009630516367,789.60403590328,2.58721281731469,0.0098532268869981,"human",0.0098532268869981,"**","0.01"
"human","EventsAdapt","PlausibilityImplausible:TrialTypeAAR:VoiceA>P",-0.0246614767874024,0.0153024246300408,781.893155282778,-1.61160583264619,0.10745129818811,"human",0.10745129818811,"","0.107"
"human","EventsAdapt","PlausibilityImplausible:TrialTypeAI:VoiceA>P",-0.0740439525448104,0.0154773409905189,781.893155237412,-4.78402282344029,2.05393290575234e-06,"human",2.05393290575234e-06,"***","<0.001"
"tinyLSTM","EventsAdapt","(Intercept)",0.622768936427212,0.0106308563034408,382.603056160228,58.5812580521517,3.84805984347349e-193,"baselines",7.69611968694697e-193,"***","<0.001"
"tinyLSTM","EventsAdapt","PlausibilityImplausible",-0.00503641490416294,0.00328075499294728,1084.16677937134,-1.5351389893454,0.125041450953905,"baselines",0.166721934605207,"","0.167"
"tinyLSTM","EventsAdapt","TrialTypeAAR",-0.0211997588942971,0.0149009342737747,383.117395623022,-1.42271340204542,0.155632961491676,"baselines",0.300242150878733,"","0.3"
"tinyLSTM","EventsAdapt","TrialTypeAI",0.0348501698183405,0.0154232084364267,387.323697010445,2.25959274051118,0.0244015511121441,"baselines",0.0976062044485764,"","0.098"
"tinyLSTM","EventsAdapt","VoiceA>P",-0.17745528007895,0.0402307869134726,404.965794574013,-4.41093236532052,1.32093419447641e-05,"baselines",1.76124559263521e-05,"***","<0.001"
"tinyLSTM","EventsAdapt","agent_freq_norm",0.0243645257084059,0.00588755269009627,716.342627085572,4.13831127989575,3.91465003480254e-05,"baselines",7.82930006960508e-05,"***","<0.001"
"tinyLSTM","EventsAdapt","patient_freq_norm",0.0255457264881942,0.00588746602711978,716.279996921646,4.33900193572607,1.63707089055325e-05,"baselines",2.18276118740433e-05,"***","<0.001"
"tinyLSTM","EventsAdapt","verb_freq_norm",0.0162957714146648,0.00606872086637822,402.120169559769,2.6852069445056,0.0075484621459486,"baselines",0.0100646161945981,"*","0.01"
"tinyLSTM","EventsAdapt","sentence_freq_norm",-0.00231176034105417,0.00588972447909611,1479.78809142427,-0.392507382859607,0.694739885157809,"baselines",0.810003454450633,"","0.81"
"tinyLSTM","EventsAdapt","cNumTokens",-0.126941298541084,0.0205049795838848,429.739833181148,-6.19075469067274,1.39963881504898e-09,"baselines",5.59855526019593e-09,"***","<0.001"
"tinyLSTM","EventsAdapt","PlausibilityImplausible:TrialTypeAAR",0.00422692348703599,0.00459887054374458,1084.37503856338,0.919122085918571,0.358236119136131,"baselines",0.477648158848174,"","0.478"
"tinyLSTM","EventsAdapt","PlausibilityImplausible:TrialTypeAI",-0.0359663227258831,0.00482672937749495,1096.76420314218,-7.45148938607977,1.8667130685571e-13,"baselines",7.4668522742284e-13,"***","<0.001"
"tinyLSTM","EventsAdapt","PlausibilityImplausible:VoiceA>P",0.00106149134615602,0.0064996037937728,1163.06850795734,0.163316315861133,0.870297760615106,"baselines",0.870297760615106,"","0.87"
